campaign,zone_kind,goal_id,trial,fault_onset_rel_s,zone_entry_rel_s,detected,crossing_rel_s,detection_latency_s,fatal_moment_rel_s,fatal_latency_s,old_backward_scan_rel_s,likely_static_collision,mrm_first_trigger_rel_s,lead_time_s
imu_fault_s1,imu_leadin,goal_007,t1_20260728_204000,,0.0,False,,,,,,False,6.701111078262329,
imu_fault_s1,imu_leadin,goal_012,t1_20260728_204347,53.36969923973084,110.58802556991577,True,80.38797616958618,27.01827692985534,120.103574226,66.73387498626917,,False,0.9903883934020996,39.715598056413825
imu_fault_s3,imu_leadin,goal_007,t1_20260728_195042,35.47784686088562,0.0,False,,,86.377201544,50.89935468311438,96.48,True,1.0117383003234863,
imu_fault_s3,imu_leadin,goal_012,t1_20260728_195502,19.852852821350098,73.60965156555176,True,27.214180946350098,7.361328125,83.312845376,63.4599925546499,175.69,True,0.2024359703063964,56.0986644296499
imu_fault_scale,imu_turn,goal_007,t1_20260728_200905,35.90660119056702,0.0,False,,,58.413248336,22.506647145432986,68.44,True,9.49455451965332,
imu_fault_scale,imu_turn,goal_012,t1_20260728_201253,39.92816185951233,62.58722472190857,True,39.98852586746216,0.0603640079498291,91.407983675,51.47982181548767,93.36,True,4.582334280014038,51.41945780753784
imu_fault_stuck,imu_turn,goal_007,t1_20260728_202434,36.18837642669678,0.0,False,,,58.449604664,22.26122823730322,65.94,True,5.476089954376221,
imu_fault_stuck,imu_turn,goal_012,t1_20260728_202808,54.50904631614685,76.81041622161865,True,54.509191036224365,0.00014472007751464844,103.642021843,49.132975526853144,114.88,True,2.210345268249512,49.13283080677563
tl_fault_s2,tl,goal_007,t1_20260728_205829,,0.0,False,,,,,,False,84.21037435531616,
tl_fault_s2,tl,goal_012,t1_20260728_210210,,0.0,True,4.382454872131348,,,,,False,63.305596590042114,
tl_fault_s2,tl,goal_026,t1_20260728_210652,,0.0,True,4.309502363204956,,,,,False,15.5033757686615,
tl_fault_s3,tl,goal_007,t1_20260728_211338,,0.0,False,,,,,,False,3.20194935798645,
tl_fault_s3,tl,goal_012,t1_20260728_211902,,0.0,True,7.001075506210327,,,,,False,0.1051199436187744,
tl_fault_s3,tl,goal_026,t1_20260728_212548,30.312450408935547,0.0,False,,,35.000895252,4.6884448430644525,,False,2.3956799507141118,
tl_fault_s4,tl,goal_007,t1_20260728_213355,,0.0,False,,,,,,False,2.314953565597534,
tl_fault_s4,tl,goal_012,t1_20260728_213807,,0.0,False,,,,,,False,1.4099798202514648,
tl_fault_s4,tl,goal_026,t1_20260728_214355,46.18144869804382,0.0,False,,,110.618658755,64.43721005695618,,False,1.6983282566070557,
tl_fault_ramp,tl,goal_007,t1_20260728_215204,,0.0,True,8.498826742172241,,,,,False,0.8077116012573242,
tl_fault_ramp,tl,goal_012,t1_20260728_215748,,0.0,True,6.101060152053833,,,,,False,0.4012880325317383,
tl_fault_ramp,tl,goal_026,t1_20260728_220313,50.41920137405396,0.0,False,,,55.104254884,4.685053509946037,,False,1.4118187427520752,
