campaign,zone_kind,goal_id,trial,fault_onset_rel_s,zone_entry_rel_s,detected,crossing_rel_s,detection_latency_s,fatal_moment_rel_s,fatal_latency_s,old_backward_scan_rel_s,likely_static_collision,mrm_first_trigger_rel_s,lead_time_s
imu_fault_s1,imu_leadin,goal_007,t1_20260728_204000,,0.0,False,,,,,,False,6.701111078262329,
imu_fault_s1,imu_leadin,goal_012,t1_20260728_204347,53.36969923973084,106.523512840271,False,,,120.103574226,66.73387498626917,,False,0.9291489124298096,
imu_fault_s3,imu_leadin,goal_007,t1_20260728_195042,35.47784686088562,0.0,False,,,86.377201544,50.89935468311438,96.48,True,1.8231210708618164,
imu_fault_s3,imu_leadin,goal_012,t1_20260728_195502,19.852852821350098,73.60965156555176,True,21.29847311973572,1.4456202983856237,83.312845376,63.4599925546499,175.69,True,0.2024359703063964,62.01437225626428
imu_fault_scale,imu_turn,goal_007,t1_20260728_200905,35.90660119056702,0.0,False,,,58.413248336,22.506647145432986,68.44,True,13.48212742805481,
imu_fault_scale,imu_turn,goal_012,t1_20260728_201253,39.92816185951233,62.58722472190857,False,,,91.407983675,51.47982181548767,93.36,True,4.582334280014038,
imu_fault_stuck,imu_turn,goal_007,t1_20260728_202434,36.18837642669678,0.0,False,,,58.449604664,22.26122823730322,65.94,True,5.476089954376221,
imu_fault_stuck,imu_turn,goal_012,t1_20260728_202808,54.50904631614685,76.81041622161865,True,82.20446562767029,27.695419311523438,103.642021843,49.132975526853144,114.88,True,2.210345268249512,21.437556215329707
tl_fault_s2,tl,goal_007,t1_20260728_205829,,0.0,True,9.712021589279177,,,,,False,84.21037435531616,
tl_fault_s2,tl,goal_012,t1_20260728_210210,,0.0,False,,,,,,False,53.31023406982422,
tl_fault_s2,tl,goal_026,t1_20260728_210652,,0.0,False,,,,,,False,54.79631996154785,
tl_fault_s3,tl,goal_007,t1_20260728_211338,,0.0,False,,,,,,False,0.0,
tl_fault_s3,tl,goal_012,t1_20260728_211902,,0.0,True,18.010645866394043,,,,,False,0.89320969581604,
tl_fault_s3,tl,goal_026,t1_20260728_212548,30.312450408935547,0.0,False,,,35.000895252,4.6884448430644525,,False,1.6126313209533691,
tl_fault_s4,tl,goal_007,t1_20260728_213355,,0.0,False,,,,,,False,1.9151673316955569,
tl_fault_s4,tl,goal_012,t1_20260728_213807,,0.0,False,,,,,,False,0.1118779182434082,
tl_fault_s4,tl,goal_026,t1_20260728_214355,46.18144869804382,0.0,False,,,110.618658755,64.43721005695618,,False,2.71363377571106,
tl_fault_ramp,tl,goal_007,t1_20260728_215204,,0.0,False,,,,,,False,0.996617078781128,
tl_fault_ramp,tl,goal_012,t1_20260728_215748,,0.0,True,8.21465015411377,,,,,False,1.3077526092529297,
tl_fault_ramp,tl,goal_026,t1_20260728_220313,50.41920137405396,0.0,False,,,55.104254884,4.685053509946037,,False,3.3089230060577397,
