campaign,goal_id,trial,status,fault_onset_s,existing_backward_stop_s,first_stop_s,lane_deviation_crossing_s,combined_earliest_s,bag_duration_s
imu_fault_s1,goal_007,t1_20260728_204000,goal_reached,39.66637182235718,,,,,173.204756143
imu_fault_s1,goal_012,t1_20260728_204347,timeout,53.369699239730835,,120.103574226,,120.103574226,313.045197552
imu_fault_s3,goal_007,t1_20260728_195042,stuck,35.47784686088562,96.48,96.479723812,86.377201544,86.377201544,196.213547613
imu_fault_s3,goal_012,t1_20260728_195502,stuck,19.852852821350098,175.69,83.312845376,175.137864336,83.312845376,276.146897717
imu_fault_scale,goal_007,t1_20260728_200905,stuck,35.90660119056702,68.44,68.444599789,58.413248336,58.413248336,167.952658712
imu_fault_scale,goal_012,t1_20260728_201253,stuck,39.92816185951233,93.36,93.35548767,91.407983675,91.407983675,192.754320264
imu_fault_stuck,goal_007,t1_20260728_202434,stuck,36.18837642669678,65.94,65.940912719,58.449604664,58.449604664,165.956059376
imu_fault_stuck,goal_012,t1_20260728_202808,stuck,54.50904631614685,114.88,114.880665977,103.642021843,103.642021843,214.811722164
tl_fault_s2,goal_007,t1_20260728_205829,goal_reached,50.84972929954529,,,,,168.877327342
tl_fault_s2,goal_012,t1_20260728_210210,goal_reached,51.88642621040344,,,,,218.775582085
tl_fault_s2,goal_026,t1_20260728_210652,goal_reached,60.79323959350586,,,,,259.162829426
tl_fault_s3,goal_007,t1_20260728_211338,goal_reached,71.07885313034058,,,,,194.325397249
tl_fault_s3,goal_012,t1_20260728_211902,goal_reached,28.57674264907837,,,,,254.821005914
tl_fault_s3,goal_026,t1_20260728_212548,timeout,30.312450408935547,,35.000895252,,35.000895252,314.012204971
tl_fault_s4,goal_007,t1_20260728_213355,goal_reached,74.18703627586365,,,,,190.421087494
tl_fault_s4,goal_012,t1_20260728_213807,goal_reached,46.08548593521118,,,,,270.999093296
tl_fault_s4,goal_026,t1_20260728_214355,timeout,46.18144869804382,,110.618658755,,110.618658755,313.178827207
tl_fault_ramp,goal_007,t1_20260728_215204,goal_reached,41.66160559654236,,,,,206.901520009
tl_fault_ramp,goal_012,t1_20260728_215748,goal_reached,29.268675088882446,,,,,253.927302255
tl_fault_ramp,goal_026,t1_20260728_220313,timeout,50.419201374053955,,55.104254884,,55.104254884,312.883418981
