position_loss,velocity_loss,steering_loss,acceleration_loss,traffic_light_color_loss,traffic_light_confidence_loss,total_nll,position_l2_raw,velocity_l1_raw,traffic_light_discrepancy_loss,total_loss
-13.388715798656145,-10.458871973988911,-3.3315980019203075,-2.9215481477052285,-1.0938210742654821,-0.8487345533018621,-32.04328950308263,0.14404864894459024,0.1333108885640589,0.06043822751477516,-31.982851252580684
-6.559999446074168,-7.3140516219039755,-2.0361410810922584,-3.2531394169976315,-1.3087084606910746,-1.2414251528680325,-21.71346512933572,0.03329286792722996,0.053112343254421525,0.04804068975984895,-21.66542447110017
-4.013209439814091,-5.931371641655763,-1.5219714334234595,-3.1844722206393876,-1.303404211377104,-1.2514826585538685,-17.205911527077358,0.017884105853833415,0.03819055140775163,0.042776327764537804,-17.163135195771854
-3.352607893447081,-5.490000342329343,-1.411871697443227,-3.1028880942612886,-1.2730119897363086,-1.242470339871943,-15.87285028398037,0.01560663728741929,0.03439300060563255,0.03937204909258677,-15.833478214840094
-3.0059978906065226,-5.209759859989087,-1.352500871444742,-3.0221870622287192,-1.2196883478512366,-1.2167600042497118,-15.026893963416418,0.014356330531882122,0.031840621086303145,0.036267291832094393,-14.990626667936644
-2.7987831197679043,-5.047954140231013,-1.3135117935016751,-2.9497714502116046,-1.1710666228706639,-1.1911717307132978,-14.472258791327477,0.013495038033094412,0.030446996664977632,0.03402154597764214,-14.4382372473677
-2.643562344213327,-4.920246438433726,-1.2668866214031975,-2.890176280091206,-1.138104867345343,-1.1649003739779193,-14.023876910408339,0.012679696090344805,0.02956951287827299,0.03240748261062739,-13.99146942794323
-2.524071174363295,-4.807216701408227,-1.2336040701096256,-2.8313924223184586,-1.1122326808981597,-1.1466150518196325,-13.655132030447325,0.012212186731630936,0.028567995779061068,0.031171275744175848,-13.623960780600706
-2.442918742696444,-4.710870065415899,-1.1954647796228528,-2.784157568588853,-1.0958185447379947,-1.1306639650526147,-13.359893637398878,0.011861656797312511,0.027875369608712692,0.029749755214046065,-13.330143903692564
-2.3736491799354553,-4.586780870333314,-1.1519422217582662,-2.7405390000591674,-1.0769067442355056,-1.1138248109879594,-13.043642729520798,0.011527024670310007,0.02677339586080052,0.028995543104732253,-13.014647151033083
-2.3158272144695125,-4.51874480334421,-1.1187611537364621,-2.7018993894259133,-1.0592750605816643,-1.0956299885486562,-12.810137555003166,0.01121603614592459,0.02636567325195453,0.028108852394022204,-12.782028694947561
-2.253978877949218,-4.426633756607771,-1.0740043486778934,-2.668384392435352,-1.0415162237671514,-1.0831616688519716,-12.547679215669632,0.010874790694894424,0.02552108404537042,0.027317275770959288,-12.520361935098967
-2.212561795488,-4.340061921626329,-1.0313252097306151,-2.641285934795936,-1.0298275082993011,-1.0792843444893758,-12.334346681833267,0.010652131854537098,0.024850943188842695,0.02682032164739212,-12.307526364922523
-2.1876164072503648,-4.2433747841666145,-0.9899755826530358,-2.6147613637149334,-1.0164015600457788,-1.0683177132159472,-12.120447389781475,0.010527221888575392,0.024172439021640457,0.02627722012888019,-12.09417018542687
-2.1468555377796292,-4.178911042710145,-0.9480166188441217,-2.583727197100719,-1.003678426767389,-1.0608688549449046,-11.922057650983334,0.010344056853985725,0.02369231487197491,0.02613257768340797,-11.895925089716911
-2.120866776754459,-4.080131170650323,-0.90989447493727,-2.558302378281951,-0.9935633558779955,-1.0524846585467458,-11.715242755909761,0.010309692057489883,0.02302953697411188,0.025803296494511112,-11.689439463118712
-2.097883900937935,-4.017269573484858,-0.8726669697401425,-2.5373498241727552,-0.9843794824555516,-1.050815034347276,-11.56036472817262,0.010117967833745448,0.022515347542745683,0.025454095484747086,-11.534910646577677
-2.0613038232550025,-3.9339995868504047,-0.8359881119492153,-2.5132875659813485,-0.9753670723487934,-1.0410504080355167,-11.36099653939406,0.009908398509044977,0.02189741264252613,0.025394532916834578,-11.335601995388666
-2.0578561310345926,-3.8735150396823883,-0.8120377222076058,-2.504057747622331,-0.9660992325904468,-1.0399930449202657,-11.253558831910292,0.009910505292888653,0.021586979618102003,0.0250716409694481,-11.228487166265646
-2.0267332267637053,-3.7875104726602635,-0.7788921341610452,-2.480805268200735,-0.9567617831441263,-1.0296934902047117,-11.060396358370781,0.009722197131244078,0.020852809383844335,0.024953054472765263,-11.035443305969238
-1.9943387781580288,-3.7255970829476914,-0.7514815907925367,-2.4652064004912972,-0.9492308733363947,-1.029809997882694,-10.915664739906788,0.009574781184104117,0.02054299817730983,0.02462441131986755,-10.891040335098902
-1.981177846590678,-3.659945737570524,-0.7286968148934344,-2.449178071692586,-0.9445808310993016,-1.0256401225924492,-10.789219389359156,0.009436491967790062,0.020021667199519772,0.0244618205470033,-10.764757571121057
-1.9601613814011216,-3.5753296005229154,-0.7011185456067324,-2.424731037889918,-0.9342690825772783,-1.018983577688535,-10.614593202869097,0.009386289475514786,0.019424765079747885,0.024160578027173567,-10.590432624022165
-1.8748582241435845,-3.4688422152151666,-0.6701008533127606,-2.3884047900016108,-0.924363971222192,-1.0097470056886475,-10.336317059894403,0.008858020592015237,0.018624828633619472,0.02369313322560629,-10.312623927990595
