window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,traffic_light_state_pred_mean,traffic_light_state_pred_var,traffic_light_state_actual,traffic_light_state_residual,traffic_light_state_nll,traffic_light_detected_pred,traffic_light_detected_actual,traffic_light_detected_residual,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_state,cusum_tl_discrepancy,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.0011409105500206351,2.4848063162608014e-07,0.0009138468303717673,0.0008045409340411425,2.317309082400243e-07,0.0005250742542557418,0.0003600827185437083,-13.13265323638916,0.11811389029026031,0.0005137695698067546,0.10176260024309158,0.5597847700119019,0.00044541654642671347,0.5628904104232788,0.01664360798895359,-5.536215305328369,0.5405304431915283,0.0005033897468820214,0.5932464003562927,0.052715957164764404,-0.11787533760070801,0.9776432514190674,0.003800253616645932,1.0,0.022356748580932617,-1.8016433715820312,0.3244120478630066,0.004377802833914757,0.33000001311302185,0.005587965250015259,-1.7930991649627686,0.7529156804084778,1.0,0.24708431959152222,0.04589220881462097,0.0,0.04589220881462097,0.02202940359711647,0.02202940359711647,1.0,2.0,-17.620563507080078,1785285835.5275433,3.0152831077575684,194.30792713165283,0.0,0.0,0.0,,False,0.9291489124298096
1,0.0011682376498356462,2.400944936198357e-07,0.001109075266867876,0.000821826746687293,2.2383686371085787e-07,0.0006430186913348734,0.00018834146612789482,-13.360705375671387,0.1211012676358223,0.0005047738668508828,0.10799974948167801,0.5603475570678711,0.0004292461380828172,0.5643917918205261,0.013711513951420784,-5.645484924316406,0.5402683615684509,0.0004781772440765053,0.5898986458778381,0.04963028430938721,-0.3282487392425537,0.9792711734771729,0.0037218406796455383,1.0,0.02072882652282715,-1.8201051950454712,0.32492345571517944,0.004330629948526621,0.33000001311302185,0.005076557397842407,-1.7991071939468384,0.766834020614624,1.0,0.23316597938537598,0.04728608950972557,0.0,0.04728608950972557,0.02289058081805706,0.02289058081805706,1.0,2.0,-18.041217803955078,1785285835.632418,3.1201577186584473,194.4128017425537,0.04380059999633801,0.6843614136241745,0.0,,False,0.9291489124298096
2,0.001193096162751317,2.3034615992401086e-07,0.0011476186336949468,0.000843843212351203,2.1483302248270775e-07,0.0006703204708173871,0.00017938323435373604,-13.406099319458008,0.12422509491443634,0.0004951104638166726,0.11262165755033493,0.5603760480880737,0.0004109410510864109,0.5652540922164917,0.012587100267410278,-5.701096534729004,0.5395339131355286,0.000450053543318063,0.5865460634231567,0.047012150287628174,-0.4787120819091797,0.9808769226074219,0.0036342409439384937,1.0,0.019123077392578125,-1.839426875114441,0.3255229592323303,0.004250254016369581,0.33000001311302185,0.004477053880691528,-1.8090916872024536,0.7797013521194458,1.0,0.2202986478805542,0.048470672219991684,0.0,0.048470672219991684,0.02362849935889244,0.02362849935889244,1.0,2.0,-18.20633316040039,1785285835.7281163,3.2158560752868652,194.50850009918213,0.2527165564379885,1.3787073205039642,0.0,,False,0.9291489124298096
3,0.0012213531881570816,2.186878163001893e-07,0.0012276656925678253,0.0008730189874768257,2.0396845457071322e-07,0.0007217549136839807,0.00015139573952183127,-13.47640323638916,0.12791091203689575,0.0004844870127271861,0.11823753267526627,0.5602065324783325,0.00038878218038007617,0.5653903484344482,0.010974799282848835,-5.773448944091797,0.5385137796401978,0.0004166158614680171,0.5840669274330139,0.04555314779281616,-0.48232364654541016,0.9826338291168213,0.0035288657527416945,1.0,0.01736617088317871,-1.8617197275161743,0.3261571228504181,0.004118837416172028,0.33000001311302185,0.0038428902626037598,-1.825360894203186,0.7932330965995789,1.0,0.20676690340042114,0.049545589834451675,0.0,0.049545589834451675,0.02430284582078457,0.02430284582078457,1.0,2.0,-18.336322784423828,1785285835.83274,3.3204798698425293,194.6131238937378,0.5916221369030765,2.0893224343844863,0.0,,False,0.9291489124298096
4,0.001253865659236908,2.064187327732725e-07,0.0012632237048819661,0.0009069943334907293,1.926847374988938e-07,0.0007511581061407924,0.0001561169483466074,-13.526678085327148,0.13199128210544586,0.00047386076766997576,0.12391343712806702,0.5594016313552856,0.0003656827029772103,0.5657280683517456,0.010260379873216152,-5.822718143463135,0.536952555179596,0.0003822607104666531,0.5799480676651001,0.04299551248550415,-0.5977635383605957,0.9842044115066528,0.0034194900654256344,1.0,0.015795588493347168,-1.8837112188339233,0.3276250958442688,0.003935665357857943,0.33000001311302185,0.0023749172687530518,-1.8491826057434082,0.8053221106529236,1.0,0.19467788934707642,0.04984210804104805,0.0,0.04984210804104805,0.02448965422809124,0.02448965422809124,1.0,2.0,-18.483734130859375,1785285835.9381223,3.4258620738983154,194.71850609779358,1.0779390638037114,2.8237592598052306,0.0,,False,0.9291489124298096
5,0.0012883528834208846,1.954172574869517e-07,0.0008843335672281682,0.0009424930904060602,1.828954765414892e-07,0.0005285597871989012,0.0005784223321825266,-12.757301330566406,0.13609784841537476,0.00046545270015485585,0.12974874675273895,0.5580349564552307,0.0003443200548645109,0.5653103590011597,0.009656219743192196,-5.865175724029541,0.5349395275115967,0.0003510814858600497,0.5761895179748535,0.041249990463256836,-0.6349930763244629,0.9849653244018555,0.0033138487488031387,1.0,0.015034675598144531,-1.9017783403396606,0.32943275570869446,0.003723990172147751,0.33000001311302185,0.0005672574043273926,-1.8774980306625366,0.8163962960243225,1.0,0.1836037039756775,0.05010620132088661,0.0,0.05010620132088661,0.02465631812810898,0.02465631812810898,1.0,2.0,-17.766939163208008,1785285836.0323732,3.520112991333008,194.81275701522827,0.8474610230529791,3.586511510145103,0.0,,False,0.9291489124298096
6,0.00131890713237226,1.8688993463911174e-07,0.0018430399941280484,0.0009751026518642902,1.7563949938903534e-07,0.0011099198600277305,0.0005411939928308129,-12.899205207824707,0.13963717222213745,0.00046057841973379254,0.1366797834634781,0.5559929609298706,0.0003269127628300339,0.5639030933380127,0.008444900624454021,-5.911351203918457,0.5324990749359131,0.00032678936258889735,0.572120189666748,0.03962111473083496,-0.6922557353973389,0.9846796989440918,0.003228753572329879,1.0,0.015320301055908203,-1.9125438928604126,0.3328189253807068,0.0035364965442568064,0.33000001311302185,0.0028189122676849365,-1.9022473096847534,0.826485276222229,1.0,0.173514723777771,0.05055224895477295,0.0,0.05055224895477295,0.024938415735960007,0.024938415735960007,1.0,2.0,-17.974414825439453,1785285836.1266942,3.614434003829956,194.90707802772522,0.8244586445336921,4.374013039507192,0.0,,False,0.9291489124298096
7,0.0013657462550327182,1.7972382693187683e-07,0.001429343712516129,0.0010124393738806248,1.6920647283313883e-07,0.0008719228790141642,0.00015423851436935365,-13.654520034790039,0.14434993267059326,0.000456447247415781,0.14177778363227844,0.55352783203125,0.0003113431157544255,0.5607327222824097,0.007650254759937525,-5.954836845397949,0.5297676920890808,0.00030498302658088505,0.5695222020149231,0.039754509925842285,-0.5376904010772705,0.9836360216140747,0.0031484966166317463,1.0,0.016363978385925293,-1.9189516305923462,0.3359668254852295,0.0033876763191074133,0.33000001311302185,0.005966812372207642,-1.9196122884750366,0.8382101655006409,1.0,0.16178983449935913,0.05236468464136124,0.0,0.05236468464136124,0.026092415675520897,0.026092415675520897,1.0,3.0,-18.68723487854004,1785285836.2207904,3.7085301876068115,195.00117421150208,1.514276319114991,5.178879547659564,0.0,,False,0.9291489124298096
8,0.0014108887407928705,1.7185138290187751e-07,0.00147880963049829,0.0010426968801766634,1.6126013235862047e-07,0.0009073877590708435,0.0001513994939159602,-13.700374603271484,0.1494743824005127,0.0004474557936191559,0.14883576333522797,0.5521997809410095,0.0002977038675453514,0.558519184589386,0.006351590156555176,-6.010268211364746,0.5277109742164612,0.00028351653600111604,0.5675280094146729,0.03981703519821167,-0.3692314624786377,0.9843733310699463,0.0030447887256741524,1.0,0.01562666893005371,-1.938123345375061,0.336148738861084,0.0032554534263908863,0.33000001311302185,0.006148725748062134,-1.9389666318893433,0.8472344279289246,1.0,0.15276557207107544,0.054752834141254425,0.0,0.054752834141254425,0.02763168141245842,0.02763168141245842,1.0,3.0,-18.693204879760742,1785285836.3276517,3.8153915405273438,195.1080355644226,2.210063994916993,6.003100399226244,0.0,,False,0.9291489124298096
9,0.001454032608307898,1.680084977806473e-07,0.0015280500520020723,0.0010714407544583082,1.5722589807865006e-07,0.0009486706694588065,0.0001433564757462591,-13.730302810668945,0.15403766930103302,0.00044353303383104503,0.1538027673959732,0.5512439012527466,0.00028893182752653956,0.5582194328308105,0.006979485508054495,-6.012886047363281,0.5263380408287048,0.0002697087766136974,0.5655239224433899,0.03918588161468506,-0.34349489212036133,0.9828336238861084,0.0029828776605427265,1.0,0.0171663761138916,-1.9390989542007446,0.3362467885017395,0.0031793282832950354,0.33000001311302185,0.006246775388717651,-1.9504672288894653,0.856878399848938,1.0,0.143121600151062,0.05812680721282959,0.0,0.05812680721282959,0.02984163537621498,0.02984163537621498,1.0,3.0,-18.712358474731445,1785285836.4329472,3.920686960220337,195.2133309841156,2.9250052656896983,6.838821847793046,0.0,,False,0.9291489124298096
10,0.0014787290710955858,1.6488762355493236e-07,0.00162808271124959,0.0010945883113890886,1.5419281851336564e-07,0.0010174899362027645,0.00016807935026008636,-13.726737976074219,0.15726710855960846,0.0004400556499604136,0.1596970409154892,0.5507968664169312,0.0002820650115609169,0.5570491552352905,0.006707882508635521,-6.037111282348633,0.5255655646324158,0.00025961888604797423,0.5604148507118225,0.03484928607940674,-0.8702564239501953,0.9824565649032593,0.002935758326202631,1.0,0.017543435096740723,-1.9440383911132812,0.33628636598587036,0.0031371177174150944,0.33000001311302185,0.006286352872848511,-1.9569884538650513,0.8642268776893616,1.0,0.13577312231063843,0.060549911111593246,0.0,0.060549911111593246,0.031453583389520645,0.031453583389520645,0.0,3.0,-18.991554260253906,1785285836.527108,4.014847755432129,195.3074917793274,3.9191423219848645,7.681064521335433,0.0,,False,0.9291489124298096
11,0.0014792096335440874,1.71422385619735e-07,0.0016608767909929156,0.0011174097890034318,1.6108742784126662e-07,0.0010525273391976953,0.00019290590716991574,-13.663021087646484,0.1584438681602478,0.00045198522275313735,0.1656857430934906,0.546072244644165,0.00028891750844195485,0.5670599341392517,0.02220197767019272,-5.267422676086426,0.5222131013870239,0.0002674740389920771,0.5580905079841614,0.03587740659713745,-0.7881126403808594,0.9804884195327759,0.0030384778510779142,1.0,0.01951158046722412,-1.916614055633545,0.3382406234741211,0.0033294460736215115,0.33000001311302185,0.008240610361099243,-1.9233381748199463,0.8709427714347839,1.0,0.12905722856521606,0.05896292254328728,0.0,0.05896292254328728,0.030395545065402985,0.030395545065402985,0.0,3.0,-18.271015167236328,1785285836.6322901,4.120029926300049,195.4126739501953,4.1927402852624525,8.489656915832715,0.0,,False,0.9291489124298096
12,0.0015068429056555033,1.7542890873301076e-07,0.0011302230414003134,0.0011422240640968084,1.6460089113934373e-07,0.0007210000767372549,0.0005650417297147214,-12.806766510009766,0.1618286818265915,0.00045282632345333695,0.17062264680862427,0.5438551902770996,0.0002952157810796052,0.5730193257331848,0.030461132526397705,-4.550084114074707,0.5205531120300293,0.00027338985819369555,0.5569100379943848,0.03635692596435547,-0.765892744064331,0.978724479675293,0.0030278360936790705,1.0,0.02127552032470703,-1.9062674045562744,0.33883702754974365,0.0034813727252185345,0.33000001311302185,0.008837014436721802,-1.9000098705291748,0.880835235118866,1.0,0.11916476488113403,0.06005369871854782,0.0,0.06005369871854782,0.03112182579934597,0.03112182579934597,0.0,3.0,-16.82978057861328,1785285836.7268088,4.214548587799072,195.50719261169434,3.0251036599169936,9.274921006039225,0.0,,False,0.9291489124298096
13,0.0015355368377640843,1.7872967816856544e-07,0.002116893883794546,0.001172359217889607,1.6791358348200447e-07,0.0013563508400693536,0.000609777809586376,-12.684427261352539,0.1659168303012848,0.000450468243798241,0.17474471032619476,0.5427161455154419,0.0003043755714315921,0.5732571482658386,0.031791262328624725,-4.444617748260498,0.5197467803955078,0.0002823295653797686,0.5543739199638367,0.03462713956832886,-1.0438055992126465,0.976970911026001,0.0030385833233594894,1.0,0.023029088973999023,-1.8919758796691895,0.3380317687988281,0.0036411441396921873,0.3296777307987213,0.008354038000106812,-1.8792067766189575,0.8894340395927429,1.0,0.11056596040725708,0.061323024332523346,0.0,0.061323024332523346,0.031972166150808334,0.031972166150808334,0.0,3.0,-16.76202392578125,1785285836.8324494,4.3201892375946045,195.61283326148987,1.7897103817395035,10.039382002335518,0.0,,False,0.9291489124298096
