window,position_pred_mean_0,position_pred_scale_0,position_pred_implied_var_0,position_actual_0,position_pred_mean_1,position_pred_scale_1,position_pred_implied_var_1,position_actual_1,position_pred_dof,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_scale_0,velocity_pred_implied_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_scale_1,velocity_pred_implied_var_1,velocity_actual_1,velocity_pred_dof,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_scale,steering_pred_dof,steering_pred_implied_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_scale,acceleration_pred_dof,acceleration_pred_implied_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_scale,traffic_light_color_pred_dof,traffic_light_color_pred_implied_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_scale,traffic_light_confidence_pred_dof,traffic_light_confidence_pred_implied_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.0010746754705905914,0.0005860287928953767,5.176226295589004e-06,0.0001638683897908777,0.00020358897745609283,0.0007027145475149155,7.442746664310107e-06,0.0001077971828635782,2.142124652862549,0.0009158305474556983,-11.438681602478027,-0.47349727153778076,0.024503514170646667,0.015338633209466934,0.0008988037589006126,0.016855575144290924,0.47809842228889465,0.012233419343829155,0.0005717251333408058,0.4903709292411804,2.7091574668884277,0.01446047704666853,-5.81353759765625,-0.9156660437583923,0.3958204388618469,0.038384318351745605,7.271017074584961,0.0020323963835835457,0.4091107249259949,0.01329028606414795,-2.2392609119415283,-0.6481907367706299,0.7899953126907349,0.05236418545246124,5.357693672180176,0.004375276155769825,0.7778408527374268,0.012154459953308105,-1.9523857831954956,-0.6729433536529541,0.9969682693481445,0.04877626150846481,2.1006293296813965,0.04966401681303978,1.0,0.0030317306518554688,-1.9834089279174805,-0.691698431968689,1.0004600286483765,0.032259952276945114,2.1000006198883057,0.021854666993021965,0.98828125,0.012178778648376465,-2.297863483428955,-0.6397016644477844,7.023409125395119e-06,0.0,7.023409125395119e-06,5.0750157242873684e-05,5.0750157242873684e-05,0.09778743982315063,1.0,1.0,-17.209142684936523,1785282650.7161002,7.100780248641968,-28.18771266937256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09778743982315063,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
1,0.001149007584899664,0.0005914842477068305,5.215584224060876e-06,0.0001830409310059622,0.00030088238418102264,0.0007016303716227412,7.33893966753385e-06,0.00012038115528412163,2.143803119659424,0.0009826862951740623,-11.312505722045898,-0.3613165616989136,0.027733460068702698,0.01551454234868288,0.0009377752430737019,0.01886683888733387,0.4755086302757263,0.012474816292524338,0.0006063022301532328,0.48782142996788025,2.690603733062744,0.015173068270087242,-5.748433589935303,-0.8984904885292053,0.3885769844055176,0.03890075162053108,7.179023742675781,0.0020976520609110594,0.39654576778411865,0.007968783378601074,-2.2692551612854004,-0.6774110198020935,0.796337366104126,0.05551949515938759,5.526759147644043,0.004830429796129465,0.7898736000061035,0.006463766098022461,-1.9190924167633057,-0.6880642771720886,0.9960143566131592,0.05025065690279007,2.100799322128296,0.05262722074985504,1.0,0.00398564338684082,-1.9518507719039917,-0.6907880902290344,1.001899242401123,0.031730812042951584,2.1000003814697266,0.021143656224012375,1.0,0.0018992424011230469,-2.4135382175445557,-0.6918036937713623,7.488178198400419e-06,0.0,7.488178198400419e-06,5.353358210413717e-05,5.353358210413717e-05,0.0977846309542656,1.0,1.0,-17.045881271362305,1785282650.8131297,7.19780969619751,-28.090683221817017,5.427265558868582,2.4347468552193776,4.705854025388585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19557207077741623,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
2,0.0012037861160933971,0.0005979864508844912,5.2708328439621255e-06,0.0002075129741569981,0.0003895871341228485,0.0007019511540420353,7.262904546223581e-06,0.00013635495270136744,2.1455607414245605,0.0010279526468366385,-11.221366882324219,-0.2965989112854004,0.030274435877799988,0.015851404517889023,0.001007878570817411,0.020894574001431465,0.47355401515960693,0.012787410989403725,0.0006559005123563111,0.4847024381160736,2.6641902923583984,0.014569459483027458,-5.7960286140441895,-0.969955563545227,0.38399702310562134,0.0392264686524868,7.037413597106934,0.002149630803614855,0.3868023455142975,0.0028053224086761475,-2.281137704849243,-0.6912292242050171,0.7994109392166138,0.060526616871356964,5.644570350646973,0.005673843435943127,0.7982805371284485,0.0011304020881652832,-1.8414615392684937,-0.6930164098739624,0.9953378438949585,0.0524943470954895,2.1010656356811523,0.05728767067193985,1.0,0.004662156105041504,-1.907008409500122,-0.6901893019676208,1.0026134252548218,0.03179081901907921,2.1000003814697266,0.021223701536655426,0.9990234375,0.0035899877548217773,-2.404906988143921,-0.6883651614189148,8.294685358123388e-06,0.0,8.294685358123388e-06,5.829676956636831e-05,5.829676956636831e-05,0.09777987748384476,1.0,1.0,-16.998760223388672,1785282650.9174585,7.302138566970825,-27.9863543510437,10.807410069763531,4.824651348034886,9.403076821376535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293351948261261,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
3,0.0012522130273282528,0.0006051695090718567,5.328555744199548e-06,0.00022173754405230284,0.00048298947513103485,0.000701283453963697,7.155543698900146e-06,0.00014521113189402968,2.14760422706604,0.0010844232747331262,-11.102682113647461,-0.2119889259338379,0.032469674944877625,0.016340777277946472,0.0011098282411694527,0.02327871322631836,0.4721866846084595,0.013227748684585094,0.0007272473885677755,0.4817325174808502,2.6336467266082764,0.013251290656626225,-5.881865501403809,-1.0723676681518555,0.3816731870174408,0.03964986652135849,6.85744047164917,0.002219412475824356,0.3764505088329315,0.005222678184509277,-2.2624711990356445,-0.6866408586502075,0.8013252019882202,0.06719473004341125,5.773285865783691,0.006908341310918331,0.7957128882408142,0.005612313747406006,-1.7340387105941772,-0.6905311346054077,0.9949281215667725,0.05561475455760956,2.101436138153076,0.06407720595598221,1.0,0.005071878433227539,-1.848969578742981,-0.6900283694267273,1.0030896663665771,0.03223101794719696,2.1000003814697266,0.021815529093146324,1.0,0.0030896663665771484,-2.3937714099884033,-0.6897012591362,9.740137102198787e-06,0.0,9.740137102198787e-06,6.664676038781181e-05,6.664676038781181e-05,0.0977715477347374,1.0,1.0,-16.939409255981445,1785282651.0232935,7.407973527908325,-27.8805193901062,16.12820361325125,7.1565170100932525,14.089164039208967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3911234959959984,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
4,0.0012981956824660301,0.0006112440605647862,5.366229288483737e-06,0.0002474756329320371,0.0005624406039714813,0.0007005195366218686,7.048236057016766e-06,0.0001615908113308251,2.1496689319610596,0.0011245857458561659,-11.014948844909668,-0.15541458129882812,0.03456339240074158,0.016890736296772957,0.001224525854922831,0.024987420067191124,0.4711340069770813,0.013694996014237404,0.0008049976313486695,0.47926971316337585,2.607513189315796,0.012565387412905693,-5.90754508972168,-1.1334209442138672,0.3805324137210846,0.040000636130571365,6.699131011962891,0.0022810494992882013,0.36950090527534485,0.011031508445739746,-2.2192797660827637,-0.6646260023117065,0.8020750284194946,0.07416999340057373,5.880509376525879,0.008336479775607586,0.8037910461425781,0.001716017723083496,-1.6398288011550903,-0.6929464340209961,0.9949036836624146,0.05886136740446091,2.1018130779266357,0.07152390480041504,1.0,0.005096316337585449,-1.7928560972213745,-0.6903360486030579,1.0033421516418457,0.03281780704855919,2.1000003814697266,0.022617094218730927,1.0,0.003342151641845703,-2.374861240386963,-0.6892579197883606,1.1531170457601547e-05,0.0,1.1531170457601547e-05,7.671240746276453e-05,7.671240746276453e-05,0.09776138514280319,1.0,1.0,-16.850624084472656,1785282651.1232448,7.507924795150757,-27.78056812286377,21.360211985230187,9.432269190630013,18.75634108743996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4888848811388016,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
5,0.0013375417329370975,0.0006156916497275233,5.3873554861638695e-06,0.0002626828209031373,0.0006187055259943008,0.0007010261178947985,6.984213086980162e-06,0.0001711501245154068,2.1513798236846924,0.0011643142206594348,-10.928644180297852,-0.09054899215698242,0.036356911063194275,0.01736951619386673,0.001324740587733686,0.027044406160712242,0.47026002407073975,0.014067860320210457,0.0008689835085533559,0.47646036744117737,2.589810609817505,0.01118780579417944,-5.971389293670654,-1.205655574798584,0.3801524341106415,0.040185801684856415,6.58875846862793,0.0023187485057860613,0.36266976594924927,0.017482668161392212,-2.1500425338745117,-0.6221728324890137,0.8024784326553345,0.07993030548095703,5.9595160484313965,0.009615941904485226,0.8084540367126465,0.005975604057312012,-1.5626405477523804,-0.6910513043403625,0.9954484701156616,0.06140470504760742,2.102064847946167,0.07765568047761917,1.0,0.004551529884338379,-1.7520406246185303,-0.6910868287086487,1.0035051107406616,0.03325618803501129,2.1000003814697266,0.023225370794534683,0.9990234375,0.004481673240661621,-2.3558809757232666,-0.686336874961853,1.3222368579590693e-05,0.0,1.3222368579590693e-05,8.597892156103626e-05,8.597892156103626e-05,0.09775219857692719,1.0,1.0,-16.780776977539062,1785282651.227551,7.612231016159058,-27.67626190185547,26.52237325027553,11.667205898563928,23.404537871007257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5866370797157288,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
6,0.001375463791191578,0.0006167161045596004,5.340643383533461e-06,0.00029034854378551245,0.0006912928074598312,0.0007000662735663354,6.8817885221506e-06,0.00018821835692506284,2.153352975845337,0.0011960597475990653,-10.848455429077148,-0.03169727325439453,0.038480356335639954,0.01776847057044506,0.00141119584441185,0.029442252591252327,0.46927645802497864,0.014281165786087513,0.0009116214932873845,0.4732857644557953,2.5764036178588867,0.009887459687888622,-6.0264201164245605,-1.259713053703308,0.3794092535972595,0.0404461994767189,6.521667957305908,0.002359475241973996,0.3565469980239868,0.022862255573272705,-2.070777416229248,-0.5733314156532288,0.8016717433929443,0.08526822179555893,5.995682239532471,0.010909932665526867,0.8108712434768677,0.00919950008392334,-1.494721531867981,-0.6887821555137634,0.996573805809021,0.0633092150092125,2.1022191047668457,0.0824289470911026,1.0,0.003426194190979004,-1.7233933210372925,-0.6920489072799683,1.0034502744674683,0.03350246697664261,2.1000003814697266,0.02357063628733158,1.0,0.0034502744674682617,-2.3540408611297607,-0.6891698837280273,1.434040314052254e-05,0.0,1.434040314052254e-05,9.199546911986545e-05,9.199546911986545e-05,0.09774614870548248,1.0,1.0,-16.704980850219727,1785282651.321725,7.7064049243927,-27.582087993621826,31.608738388001534,13.873495302916606,28.050894539981048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6843832284212112,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
7,0.0014096708036959171,0.0006162318168208003,5.274410341371549e-06,0.00031181651866063476,0.0007604509592056274,0.0006996836164034903,6.79968934491626e-06,0.00020145642338320613,2.155165433883667,0.0012319735251367092,-10.756335258483887,0.04329490661621094,0.04054628312587738,0.01807505264878273,0.0014771560672670603,0.031157122924923897,0.468283474445343,0.014360824599862099,0.0009324509301222861,0.4707360863685608,2.567965507507324,0.009704207070171833,-6.0297651290893555,-1.2741693258285522,0.3786405324935913,0.040510114282369614,6.482614994049072,0.0023732620757073164,0.3513006865978241,0.027339845895767212,-1.9948047399520874,-0.5223438143730164,0.8018109798431396,0.08924738317728043,6.015310287475586,0.01193245779722929,0.8148572444915771,0.0130462646484375,-1.4435911178588867,-0.6851338744163513,0.9981147050857544,0.06441431492567062,2.1022696495056152,0.08529163897037506,1.0,0.0018852949142456055,-1.7076185941696167,-0.692825973033905,1.003435730934143,0.03351826220750809,2.1000003814697266,0.023592865094542503,1.0,0.0034357309341430664,-2.353642463684082,-0.6892070770263672,1.51895355884335e-05,0.0,1.51895355884335e-05,9.651265281718224e-05,9.651265281718224e-05,0.09774160385131836,1.0,1.0,-16.57754898071289,1785282651.4291334,7.8138134479522705,-27.474679470062256,36.5676716562207,16.064009980401607,32.69685281150916,0.0,0.04329490661621094,0.0,0.0,0.0,0.0,0.0,0.7821248322725296,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
8,0.0014460966922342777,0.0006154943257570267,5.206793048273539e-06,0.0003256221243645996,0.0008288957178592682,0.0006998389144428074,6.731601388310082e-06,0.0002095547242788598,2.156933069229126,0.0012802524724975228,-10.636808395385742,0.15015912055969238,0.042751699686050415,0.018327197059988976,0.0015318467048928142,0.03355447202920914,0.4671700596809387,0.014356200583279133,0.0009399445843882859,0.4677925109863281,2.5617010593414307,0.009218266233801842,-6.045881271362305,-1.2911500930786133,0.3775123357772827,0.04031363129615784,6.458579063415527,0.0023542053531855345,0.3483794927597046,0.029132843017578125,-1.9635963439941406,-0.49731090664863586,0.8028504848480225,0.09234561026096344,6.027942657470703,0.012761988677084446,0.8146243095397949,0.011773824691772461,-1.41252601146698,-0.6870513558387756,0.9998157024383545,0.06494062393903732,2.102257251739502,0.08670111000537872,1.0,0.0001842975616455078,-1.7001065015792847,-0.6931441426277161,1.0035396814346313,0.03333883360028267,2.1000003814697266,0.023340949788689613,1.0,0.0035396814346313477,-2.358447551727295,-0.6889199018478394,1.576078102516476e-05,0.0,1.576078102516476e-05,9.952775872079656e-05,9.952775872079656e-05,0.09773857891559601,1.0,1.0,-16.455310821533203,1785282651.5322626,7.916942596435547,-27.37155032157898,41.404366765260185,18.247012565296277,37.34761617108048,0.0,0.19345402717590332,0.0,0.0,0.0,0.0,0.0,0.8798634111881256,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
9,0.0014861435629427433,0.0006152982823550701,5.150187917024596e-06,0.0003481360909063369,0.0008992385119199753,0.0007006830419413745,6.678745194221847e-06,0.0002230078971479088,2.1586856842041016,0.001323763164691627,-10.527986526489258,0.24576282501220703,0.045122891664505005,0.01855071634054184,0.001581332297064364,0.03526822850108147,0.46596837043762207,0.014290991239249706,0.0009384832228533924,0.46632641553878784,2.5563015937805176,0.009861165657639503,-6.019586563110352,-1.2802326679229736,0.37603825330734253,0.039862364530563354,6.440413951873779,0.002304710680618882,0.3477957844734192,0.02824246883392334,-1.9855071306228638,-0.5049077868461609,0.8040145039558411,0.09499001502990723,6.029024124145508,0.013502153567969799,0.8189626932144165,0.01494818925857544,-1.379356861114502,-0.6838606595993042,1.0014995336532593,0.06503903865814209,2.1022157669067383,0.08699766546487808,1.0,0.0014995336532592773,-1.698203682899475,-0.6929478645324707,1.0038362741470337,0.03297517076134682,2.1000003814697266,0.02283451519906521,1.0,0.0038362741470336914,-2.367755889892578,-0.6880717277526855,1.6061580026871525e-05,0.0,1.6061580026871525e-05,0.00010110805305885151,0.00010110805305885151,0.09773706644773483,1.0,1.0,-16.336410522460938,1785282651.616809,8.00148892402649,-27.287003993988037,46.1221615752274,20.428112331511137,42.00768786881709,0.0,0.43921685218811035,0.0,0.0,0.0,0.0,0.0,0.9776004776358604,0.0,0.0,0.0,0.5,0.5,0.5,96.48,True,1.0117383003234863
