window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.00034554320154711604,5.289715687695207e-08,0.0003423757734708488,0.0005787367699667811,4.4208750438201605e-08,0.00022493427968584,0.00035381666384637356,-13.590917587280273,-0.3244180679321289,0.060868605971336365,0.00027901562862098217,0.03556178882718086,0.48398226499557495,0.00012283597607165575,0.4837731122970581,0.025307681411504745,-5.608727931976318,-0.5254091620445251,0.47725847363471985,0.00032727551297284663,0.4267817735671997,0.05047670006752014,0.7991721630096436,2.2262933254241943,0.9234400987625122,0.006131536327302456,0.9018244743347168,0.02161562442779541,-1.5901154279708862,-0.6645714640617371,0.33535224199295044,0.000877929967828095,0.33000001311302185,0.005352228879928589,-2.5837185382843018,-0.680911123752594,0.988725483417511,0.003597507020458579,1.0,0.011274516582489014,-1.877151608467102,-0.679896891117096,0.002093394985422492,0.0,0.002093394985422492,0.0058290185406804085,0.0058290185406804085,0.0919920951128006,1.0,2.0,-17.678314208984375,1785282906.4232607,3.0085020065307617,227.51944780349731,0.0,0.0,0.0,0.0,0.0,0.0,2.2262933254241943,0.0,0.0,0.0,0.0919920951128006,0.7118946313858032,0.0,0.0,0.6708196688466406,0.5,0.5,175.69,True,0.20243597030639648
1,0.00035549915628507733,5.317451723385602e-08,0.00037529144901782274,0.0005915812216699123,4.435075950937062e-08,0.00024581007892265916,0.00034633715404197574,-13.650985717773438,-0.3726329803466797,0.0620604008436203,0.00028072562417946756,0.0387507900595665,0.4813263416290283,0.00012349245662335306,0.4816298484802246,0.023311587050557137,-5.782743453979492,-0.6602108478546143,0.4744133949279785,0.000330676935845986,0.4221448302268982,0.05226856470108032,1.0426783561706543,2.4050467014312744,0.9236267805099487,0.0062462701462209225,0.8815288543701172,0.04209792613983154,-1.477083444595337,-0.5867495536804199,0.33554065227508545,0.000888556067366153,0.33000001311302185,0.005540639162063599,-2.5767436027526855,-0.6801913380622864,0.988839328289032,0.0036304478999227285,1.0,0.011160671710968018,-1.8731061220169067,-0.6802809238433838,0.001992569537833333,0.0,0.001992569537833333,0.005594952963292599,0.005594952963292599,0.09222747385501862,1.0,2.0,-17.755840301513672,1785282906.5278037,3.1130449771881104,227.62399077415466,10.151039086006307,3.479547071096798,6.072100240535758,0.0,0.0,0.0,4.631340026855469,0.0,0.0,0.0,0.1842195689678192,1.4973479509353638,0.0,0.0,0.8171785993003042,0.5,0.5,175.69,True,0.20243597030639648
2,0.0003671065787784755,5.356877963436091e-08,0.0004049325652886182,0.0006044680485501885,4.454603441672589e-08,0.00026482026441954076,0.00034174759639427066,-13.68844223022461,-0.4051428437232971,0.06331820785999298,0.0002833651378750801,0.04144405946135521,0.47881990671157837,0.00012494677503127605,0.4795187711715698,0.021885309368371964,-5.894087791442871,-0.7516193389892578,0.47175830602645874,0.0003378960827831179,0.42039960622787476,0.051358699798583984,0.8256993293762207,2.234213352203369,0.922612190246582,0.006478849798440933,0.8863176107406616,0.03629457950592041,-1.4990062713623047,-0.6169012188911438,0.33579200506210327,0.0009053945541381836,0.33000001311302185,0.005791991949081421,-2.5661051273345947,-0.6792525053024292,0.9889033436775208,0.003683563321828842,1.0,0.011096656322479248,-1.8662846088409424,-0.6806114912033081,0.0019007382215932012,0.0,0.0019007382215932012,0.005379985552281141,0.005379985552281141,0.09244366735219955,1.0,2.0,-17.990863800048828,1785282906.632615,3.2178564071655273,227.72880220413208,20.53710167054777,6.948455666775505,12.137378967895552,0.0,0.0,0.0,6.865553379058838,0.0,0.0,0.0,0.27666323632001877,1.9578979015350342,0.0,0.0,0.876305277044342,0.5,0.5,175.69,True,0.20243597030639648
3,0.00037825119215995073,5.389977886238739e-08,0.0004335094999987632,0.0006143139908090234,4.461397296040559e-08,0.00028256955556571484,0.0003363151045050472,-13.731069564819336,-0.4399951100349426,0.06448127329349518,0.000284243025816977,0.043626438826322556,0.47672274708747864,0.00012517285358626395,0.4786084294319153,0.020939912647008896,-5.958610534667969,-0.8018491268157959,0.46966463327407837,0.000341045786626637,0.42039960622787476,0.04926502704620361,0.4854278564453125,1.9755299091339111,0.922825813293457,0.006509707309305668,0.9149657487869263,0.007860064506530762,-1.593546748161316,-0.6895882487297058,0.3359372019767761,0.0009209888521581888,0.33000001311302185,0.0059371888637542725,-2.556955575942993,-0.6787943243980408,0.9890571236610413,0.0037488224916160107,1.0,0.01094287633895874,-1.85824716091156,-0.681168794631958,0.0017749234102666378,0.0,0.0017749234102666378,0.0050825271755456924,0.0050825271755456924,0.09274260699748993,1.0,2.0,-18.255245208740234,1785282906.7275047,3.312746047973633,227.82369184494019,31.18754566378064,10.40821471106261,18.194620247325965,0.0,0.0,0.0,8.841083288192749,0.0,0.0,0.0,0.3694058433175087,2.001995325088501,0.0,0.0,0.8810064151861825,0.5,0.5,175.69,True,0.20243597030639648
4,0.0003886016784235835,5.388989876564665e-08,0.00045203862828202546,0.0006211658474057913,4.4345522809408067e-08,0.0002937258395832032,0.00033352841273881495,-13.749691009521484,-0.45162999629974365,0.06559333205223083,0.0002826021227519959,0.04662449657917023,0.4752247631549835,0.00012334372149780393,0.4758039712905884,0.018977675586938858,-6.110152244567871,-0.9078142642974854,0.4683191180229187,0.00033671976416371763,0.41689231991767883,0.05142679810523987,0.847984790802002,2.252234935760498,0.9251025915145874,0.0062691206112504005,0.9172561168670654,0.007846474647521973,-1.612210750579834,-0.6894643902778625,0.33597201108932495,0.0009280380327254534,0.33000001311302185,0.005971997976303101,-2.553065299987793,-0.6787358522415161,0.9895078539848328,0.003801329992711544,1.0,0.010492146015167236,-1.8527837991714478,-0.682287335395813,0.00162614812143147,0.0,0.00162614812143147,0.004726051818579435,0.004726051818579435,0.09310087561607361,1.0,2.0,-18.213821411132812,1785282906.8212981,3.4065394401550293,227.91748523712158,41.79656585940609,13.864083479394516,24.246398165016263,0.0,0.0,0.0,11.093318223953247,0.0,0.0,0.0,0.4625067189335823,2.2053216099739075,0.0,0.0,0.9007263763715676,0.5,0.5,175.69,True,0.20243597030639648
5,0.0004007095703855157,5.418050363914517e-08,0.0004193926288280636,0.0006296454230323434,4.430349065387418e-08,0.0002717234892770648,0.0003584092191886157,-13.544673919677734,-0.2995271682739258,0.06680898368358612,0.0002837780339177698,0.04843340441584587,0.47374334931373596,0.00012366475129965693,0.47496092319488525,0.018415873870253563,-6.143815994262695,-0.9355937242507935,0.46704965829849243,0.00033943960443139076,0.41688355803489685,0.05016610026359558,0.6318790912628174,2.0871386528015137,0.9257168769836426,0.006260568276047707,0.9389264583587646,0.01320958137512207,-1.603867769241333,-0.6826952695846558,0.33607161045074463,0.0009429015917703509,0.33000001311302185,0.006071597337722778,-2.5447874069213867,-0.6784859299659729,0.9898813366889954,0.003872854867950082,1.0,0.010118663311004639,-1.8447245359420776,-0.6832332611083984,0.0015225425595417619,0.0,0.0015225425595417619,0.00447450578212738,0.00447450578212738,0.09335358440876007,1.0,2.0,-18.143787384033203,1785282906.9158318,3.501073122024536,228.0120189189911,52.335552027931925,17.311674354660013,30.29011681947719,0.0,0.0,0.0,13.18045687675476,0.0,0.0,0.0,0.5558603033423424,2.374644100666046,0.0,0.0,0.9148732415762767,0.5,0.5,175.69,True,0.20243597030639648
6,0.0004120486555621028,5.444420025924046e-08,0.0005127844051457942,0.0006359345279633999,4.420216015432743e-08,0.00033083552261814475,0.0003212990704923868,-13.846269607543945,-0.5266861915588379,0.06796348094940186,0.00028348001069389284,0.0510953851044178,0.4725443124771118,0.000122731551527977,0.4744778573513031,0.0169785525649786,-6.231975555419922,-0.9984788298606873,0.46620431542396545,0.0003370687772985548,0.4175136089324951,0.04869070649147034,0.4380941390991211,1.9444284439086914,0.9274295568466187,0.006080339662730694,0.9407451152801514,0.013315558433532715,-1.617828607559204,-0.6822121143341064,0.33610501885414124,0.0009525986388325691,0.33000001311302185,0.006105005741119385,-2.5396568775177,-0.678475022315979,0.9902374148368835,0.003933991305530071,1.0,0.009762585163116455,-1.837998390197754,-0.684062123298645,0.0014126161113381386,0.0,0.0014126161113381386,0.004204379394650459,0.004204379394650459,0.09362489730119705,1.0,2.0,-18.612802505493164,1785282907.0098157,3.5950570106506348,228.1060028076172,63.343553317917724,20.754134700521824,36.3271093281938,0.0,0.0,0.0,15.124885320663452,0.0,0.0,0.0,0.6494852006435394,2.111695408821106,0.0,0.0,0.8920347245446455,0.5,0.5,175.69,True,0.20243597030639648
7,0.0004238813417032361,5.442403150368591e-08,0.0005474671488627791,0.0006431525107473135,4.3889617273862314e-08,0.00035173940705135465,0.0003165359958074987,-13.888381958007812,-0.5554711818695068,0.06921221315860748,0.00028342840960249305,0.054410725831985474,0.47161665558815,0.00012129910464864224,0.47302886843681335,0.014868704602122307,-6.36031436920166,-1.0902619361877441,0.46558383107185364,0.0003330847539473325,0.42016324400901794,0.04542058706283569,0.012235879898071289,1.6294937133789062,0.9289098978042603,0.005948171950876713,0.9377806782722473,0.00887078046798706,-1.6367825269699097,-0.6881861686706543,0.3361431956291199,0.0009571259142830968,0.33000001311302185,0.0061431825160980225,-2.537134885787964,-0.6783612370491028,0.9906097650527954,0.003968469332903624,1.0,0.00939023494720459,-1.8346391916275024,-0.6848149299621582,0.0013197597581893206,0.0,0.0013197597581893206,0.003973390441387892,0.003973390441387892,0.09385684877634048,1.0,2.0,-18.97051429748535,1785282907.1144557,3.6996970176696777,228.21064281463623,74.70926639989571,24.1940730546539,42.360742638340156,0.0,0.0,0.0,16.75437903404236,0.0,0.0,0.0,0.7433420494198799,1.407269835472107,0.0,0.0,0.8033349678634225,0.5,0.5,175.69,True,0.20243597030639648
8,0.000437280279584229,5.467179775564546e-08,0.0005726091912947595,0.0006499267183244228,4.3761485102322695e-08,0.00036604315391741693,0.0003144897345919162,-13.907062530517578,-0.5700880289077759,0.07049724459648132,0.00028466805815696716,0.05858736112713814,0.4708349108695984,0.00012036720727337524,0.4703789949417114,0.011918606236577034,-6.506692409515381,-1.1987905502319336,0.4652024507522583,0.00032973650377243757,0.4224681854248047,0.04273426532745361,-0.3204624652862549,1.3837580680847168,0.9299764633178711,0.005850379355251789,0.9662364721298218,0.036260008811950684,-1.5393180847167969,-0.608871340751648,0.3362567126750946,0.0009628588450141251,0.33000001311302185,0.006256699562072754,-2.5335354804992676,-0.6779010891914368,0.9908677339553833,0.004001472610980272,1.0,0.0091322660446167,-1.8311870098114014,-0.6853314638137817,0.0012494279071688652,0.0,0.0012494279071688652,0.0037965846713632345,0.0037965846713632345,0.09403438866138458,1.0,2.0,-19.272647857666016,1785282907.2185178,3.8037590980529785,228.31470489501953,86.37711304205436,27.630412003497277,48.39092376667041,0.0,0.0,0.0,18.138137102127075,0.0,0.0,0.0,0.8373764380812645,0.4132779836654663,0.0,0.0,0.6018736167696719,0.5,0.5,175.69,True,0.20243597030639648
9,0.0004516310873441398,5.5000185739118024e-08,0.0006184724043123424,0.0006555920699611306,4.362876993013742e-08,0.00039453283534385264,0.0003098192100878805,-13.95976448059082,-0.6107212901115417,0.0719052404165268,0.0002849751908797771,0.06163714453577995,0.47029203176498413,0.00011891360190929845,0.4703400135040283,0.010268207639455795,-6.577236175537109,-1.2475463151931763,0.465246319770813,0.0003225514374207705,0.4248389005661011,0.040407419204711914,-0.569678544998169,1.2051076889038086,0.9321582317352295,0.005622763652354479,0.9953771233558655,0.06321889162063599,-1.3161303997039795,-0.42659932374954224,0.3361276090145111,0.0009648322593420744,0.33000001311302185,0.006127595901489258,-2.533381700515747,-0.6785537004470825,0.990919828414917,0.004034216981381178,1.0,0.009080171585083008,-1.8273143768310547,-0.6854830980300903,0.001180727849714458,0.0,0.001180727849714458,0.003622234333306551,0.003622234333306551,0.09420929104089737,1.0,2.0,-19.506393432617188,1785282907.3129952,3.8982365131378174,228.40918231010437,98.27870525916418,31.066597172357135,54.41723226202032,0.0,0.0,0.0,19.343244791030884,0.0,0.0,0.0,0.9315857291221619,0.0,0.0,0.0,0.5,0.5,0.5,175.69,True,0.20243597030639648
