window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.0002437165821902454,6.700677346316297e-08,0.0002611692762002349,0.00034504826180636883,5.158051763487492e-08,0.00017093642964027822,0.00017498435045126826,-14.515287399291992,-1.1641945838928223,0.030259892344474792,0.0003371417406015098,0.024942025542259216,0.4732179641723633,0.00022623279073741287,0.4793021082878113,0.008080625906586647,-6.232847213745117,-1.293480634689331,0.4002343416213989,0.0025331496726721525,0.368070125579834,0.03216421604156494,-1.866007924079895,-0.539997398853302,0.7990453243255615,0.009131872095167637,0.8046748638153076,0.005629539489746094,-1.4273184537887573,-0.6918457746505737,0.9775093793869019,0.007584770210087299,1.0,0.022490620613098145,-1.4885228872299194,-0.6681384444236755,0.9977766871452332,0.003170484909787774,1.0,0.0022233128547668457,-1.9572174549102783,-0.6925625205039978,0.0004637820238713175,0.0,0.0004637820238713175,0.0016648401506245136,0.0016648401506245136,0.09617193043231964,1.0,2.0,-20.4345703125,1785283755.222086,2.9858107566833496,-26.77328109741211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09617193043231964,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
1,0.0002622538013383746,7.140550906115095e-08,0.00027462924481369555,0.0003373115323483944,5.4216751976809974e-08,0.00017882704560179263,0.0001589669263921678,-14.521995544433594,-1.211761474609375,0.030473962426185608,0.00035726503119803965,0.02734530158340931,0.47202736139297485,0.00022732718207407743,0.47600969672203064,0.0050643375143408775,-6.276618480682373,-1.3498588800430298,0.401078999042511,0.0025725853629410267,0.3624880909919739,0.03859090805053711,-1.7730355262756348,-0.4760614037513733,0.8053637742996216,0.009374876506626606,0.809296727180481,0.003932952880859375,-1.4150975942611694,-0.6925284266471863,0.9796673059463501,0.0074548316188156605,1.0,0.020332694053649902,-1.5027797222137451,-0.6723510026931763,0.9987931251525879,0.0031321109272539616,1.0,0.0012068748474121094,-1.963852882385254,-0.6929727792739868,0.00038287785719148815,0.0,0.00038287785719148815,0.0014192928792908788,0.0014192928792908788,0.09641779959201813,1.0,2.0,-20.4298095703125,1785283755.3276315,3.0913562774658203,-26.66773557662964,71.96739515815025,7.3904164189663835,23.87496512162093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19258973002433777,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
2,0.0002681351616047323,7.589797235141305e-08,0.000247800286160782,0.0003171847201883793,5.723549634240044e-08,0.00016098916239570826,0.00015751368482597172,-14.481253623962402,-1.2244048118591309,0.029347404837608337,0.00037303962744772434,0.029053032398223877,0.471650093793869,0.00022936167079024017,0.4736091196537018,0.001981019275262952,-6.290658950805664,-1.3799326419830322,0.40410712361335754,0.0026481272652745247,0.35590773820877075,0.04819938540458679,-1.609366774559021,-0.3641626834869385,0.8060801029205322,0.010028825141489506,0.8112376928329468,0.005157589912414551,-1.3808813095092773,-0.6921525001525879,0.9799551963806152,0.007700888905674219,1.0,0.020044803619384766,-1.488183617591858,-0.6735815405845642,0.9989257454872131,0.0032234229147434235,0.9990234375,9.769201278686523e-05,-1.9497157335281372,-0.6931460499763489,0.0003494312986731529,0.0,0.0003494312986731529,0.0013152944156900048,0.0013152944156900048,0.09652193635702133,1.0,2.0,-20.318464279174805,1785283755.422334,3.186058759689331,-26.573033094406128,143.8234450251628,14.76623673331088,47.735793094384746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2891116663813591,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
3,0.00031351414509117603,8.211667079649487e-08,0.0003283305268269032,0.00031837308779358864,6.04618790589484e-08,0.0002125572063960135,0.00010684814333217219,-14.536378860473633,-1.315845251083374,0.03155691921710968,0.0003963529597967863,0.031099608168005943,0.4692215025424957,0.00023282399342861027,0.4708609879016876,0.0017020709346979856,-6.255302906036377,-1.3817671537399292,0.4018736183643341,0.002703398698940873,0.3514188528060913,0.0504547655582428,-1.5668542385101318,-0.34002459049224854,0.8149734139442444,0.009681368246674538,0.8137159943580627,0.0012574195861816406,-1.3997559547424316,-0.6930859684944153,0.9828808307647705,0.007208175491541624,1.0,0.017119169235229492,-1.5270024538040161,-0.6779006719589233,0.9989060163497925,0.0031105587258934975,1.0,0.0010939836502075195,-1.9673455953598022,-0.6930028796195984,0.00029173586517572403,0.0,0.00029173586517572403,0.0011318059405311942,0.0011318059405311942,0.09670571237802505,1.0,2.0,-20.324047088623047,1785283755.5302303,3.293955087661743,-26.465136766433716,215.6850777016236,22.180875883867536,71.61425092898023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38581737875938416,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
4,0.0003523874911479652,8.925241701263076e-08,0.0003521997423376888,0.0003209057031199336,6.427261212138546e-08,0.00022683748102281243,9.406841127201915e-05,-14.489250183105469,-1.3346655368804932,0.03399796783924103,0.00041666373726911843,0.033487774431705475,0.4669588804244995,0.00023689678346272558,0.46806034445762634,0.0012138864258304238,-6.224808692932129,-1.3841396570205688,0.3999328017234802,0.0027766881976276636,0.34919875860214233,0.05073404312133789,-1.560818076133728,-0.3455285429954529,0.8185458183288574,0.009327449835836887,0.8165633678436279,0.001982450485229492,-1.4182476997375488,-0.6929891705513,0.9854254722595215,0.00686891283839941,1.0,0.014574527740478516,-1.5559741258621216,-0.6815505623817444,0.9984551072120667,0.0030449728947132826,1.0,0.0015448927879333496,-1.9778012037277222,-0.6928532719612122,0.000253454374615103,0.0,0.000253454374615103,0.0010067098774015903,0.0010067098774015903,0.09683091193437576,1.0,2.0,-20.2495059967041,1785283755.6354985,3.3992233276367188,-26.35986852645874,287.47216928616547,29.624486706482294,95.50316437194363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4826482906937599,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
5,0.00038867630064487457,9.705370729307106e-08,0.0003077346191275865,0.0003252909518778324,6.840787136752624e-08,0.00019729723862838,0.00015143958444241434,-14.33151912689209,-1.2711747884750366,0.03682045638561249,0.00043545971857383847,0.035185955464839935,0.4647011160850525,0.0002416322095086798,0.4662150740623474,0.002227927790954709,-6.187912940979004,-1.3804365396499634,0.3982667326927185,0.0028578434139490128,0.3476455807685852,0.0506211519241333,-1.561577558517456,-0.3569014072418213,0.8168333768844604,0.008991639129817486,0.8212089538574219,0.004375576972961426,-1.4357268810272217,-0.6923487186431885,0.9874722957611084,0.006603873800486326,1.0,0.012527704238891602,-1.579228162765503,-0.684235155582428,0.9978468418121338,0.003001481993123889,1.0,0.002153158187866211,-1.9846136569976807,-0.6925679445266724,0.00022846135834697634,0.0,0.00022846135834697634,0.0009233341552317142,0.0009233341552317142,0.09691433608531952,1.0,2.0,-20.062637329101562,1785283755.719202,3.482926845550537,-26.276165008544922,359.0723922031048,37.091351566000434,119.39889026817698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795626267790794,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
6,0.00042186694918200374,1.0551974582995172e-07,0.00039240485057234764,0.0003313111374154687,7.292383941148728e-08,0.00025018665473908186,8.630873344372958e-05,-14.361993789672852,-1.3493667840957642,0.03988611698150635,0.0004533974570222199,0.03721560910344124,0.46234649419784546,0.0002476276131346822,0.46420037746429443,0.0032509223092347383,-6.148481369018555,-1.3751912117004395,0.39674973487854004,0.002953184302896261,0.34655535221099854,0.050194382667541504,-1.5669276714324951,-0.37322014570236206,0.8107395172119141,0.008733537048101425,0.8240640163421631,0.013324499130249023,-1.4411895275115967,-0.6855238676071167,0.98896324634552,0.006385650020092726,1.0,0.01103675365447998,-1.598374605178833,-0.6859938502311707,0.9973374605178833,0.002972836373373866,1.0,0.0026625394821166992,-1.9889885187149048,-0.6922529339790344,0.00021447772451210767,0.0,0.00021447772451210767,0.0008760229684412479,0.0008760229684412479,0.09696172922849655,1.0,2.0,-20.06424331665039,1785283755.8240786,3.587803363800049,-26.17128849029541,430.674221107593,44.5773628679319,143.29899102612757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676524356007576,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
7,0.0004523682873696089,1.1488430828876517e-07,0.0004081775841768831,0.00033856858499348164,7.799317103263093e-08,0.00025877804728224874,9.12104660528712e-05,-14.28580093383789,-1.3493090867996216,0.04305453598499298,0.0004718417185358703,0.03957856819033623,0.45974409580230713,0.0002551630313973874,0.4616386294364929,0.003958738408982754,-6.108523368835449,-1.3714169263839722,0.39519500732421875,0.003069983096793294,0.34610462188720703,0.04909038543701172,-1.58161461353302,-0.39878082275390625,0.8015415072441101,0.008568557910621166,0.8277813196182251,0.02623981237411499,-1.420711874961853,-0.6630139946937561,0.9899065494537354,0.00618229852989316,1.0,0.010093450546264648,-1.6158546209335327,-0.6869675517082214,0.9969884157180786,0.0029485970735549927,1.0,0.0030115842819213867,-1.992736577987671,-0.6919937133789062,0.00020831663277931511,0.0,0.00020831663277931511,0.0008550154161639512,0.0008550154161639512,0.09698271751403809,1.0,2.0,-19.96342658996582,1785283755.928445,3.6921699047088623,-26.066921949386597,502.1752332853966,52.08085418561807,167.20283984335092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7735070735216141,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
8,0.0004824577481485903,1.261566922039492e-07,0.0003836657851934433,0.0003470050869509578,8.416262176069722e-08,0.00024192336422856897,0.00014422905223909765,-14.14596939086914,-1.308083176612854,0.046449437737464905,0.0004939581849612296,0.04126140847802162,0.4567340314388275,0.0002648844965733588,0.4603659510612488,0.006332968361675739,-6.034616947174072,-1.3471863269805908,0.3936925530433655,0.003211654257029295,0.34720462560653687,0.04648792743682861,-1.6150952577590942,-0.44080907106399536,0.7897824048995972,0.00848905835300684,0.8278771638870239,0.03809475898742676,-1.3800747394561768,-0.6290406584739685,0.9902514219284058,0.00595774594694376,1.0,0.009748578071594238,-1.6346173286437988,-0.687165379524231,0.9966663718223572,0.002917526988312602,1.0,0.0033336281776428223,-1.9976664781570435,-0.6917187571525574,0.00020821855287067592,0.0,0.00020821855287067592,0.0008546802564524114,0.0008546802564524114,0.09698314964771271,1.0,2.0,-19.781211853027344,1785283756.0253224,3.7890472412109375,-25.97004461288452,573.4940307262617,59.60310821101451,191.11161856074364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8704902231693268,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
9,0.0005131926736794412,1.4101239287356293e-07,0.000461377581814304,0.0003568324027583003,9.247268906165118e-08,0.00028905351064167917,8.531577623216435e-05,-14.113147735595703,-1.3605247735977173,0.050081297755241394,0.0005221673636697233,0.043107111006975174,0.4530280530452728,0.0002784930693451315,0.4598528742790222,0.009757943451404572,-5.903742790222168,-1.288644552230835,0.39237427711486816,0.0033948777709156275,0.3503395915031433,0.042034685611724854,-1.663572907447815,-0.4979728162288666,0.775795578956604,0.008517146110534668,0.8296798467636108,0.053884267807006836,-1.2934473752975464,-0.5653088092803955,0.9898298978805542,0.005698337685316801,1.0,0.0101701021194458,-1.6557762622833252,-0.6863405108451843,0.9961682558059692,0.0028784500900655985,0.9990234375,0.0028551816940307617,-2.004897356033325,-0.6920851469039917,0.00021584586647804826,0.0,0.00021584586647804826,0.0008806741097941995,0.0008806741097941995,0.09695707261562347,1.0,2.0,-19.66792869567871,1785283756.130484,3.8942089080810547,-25.864882946014404,644.6995450097781,67.14652117005048,215.02762815601264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9674472957849503,0.0,0.0,0.0,0.5,0.5,0.5,68.44,True,9.49455451965332
