window,position_pred_mean_0,position_pred_scale_0,position_pred_implied_var_0,position_actual_0,position_pred_mean_1,position_pred_scale_1,position_pred_implied_var_1,position_actual_1,position_pred_dof,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_scale_0,velocity_pred_implied_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_scale_1,velocity_pred_implied_var_1,velocity_actual_1,velocity_pred_dof,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_scale,steering_pred_dof,steering_pred_implied_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_scale,acceleration_pred_dof,acceleration_pred_implied_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_scale,traffic_light_color_pred_dof,traffic_light_color_pred_implied_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_scale,traffic_light_confidence_pred_dof,traffic_light_confidence_pred_implied_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.0012229718267917633,0.0005651270039379597,4.638895916286856e-06,0.00013957078044768423,0.00025609321892261505,0.000681135046761483,6.738899628544459e-06,9.187099931295961e-05,2.147871971130371,0.0010957767954096198,-11.094697952270508,0.013721346855163574,0.028158172965049744,0.015863176435232162,0.0010268057230859995,0.017008736729621887,0.47574347257614136,0.0127779645845294,0.0006662409286946058,0.4903773367404938,2.6492559909820557,0.01839727908372879,-5.435297966003418,-0.7092026472091675,0.39297205209732056,0.037668026983737946,7.157721996307373,0.001969076693058014,0.40617379546165466,0.013201743364334106,-2.2557857036590576,-0.6470845937728882,0.7937229871749878,0.049997471272945404,5.369953155517578,0.003983296919614077,0.7784336805343628,0.015289306640625,-1.9755607843399048,-0.658079206943512,1.0005605220794678,0.03943673521280289,2.1000702381134033,0.0326385460793972,1.0,0.0005605220794677734,-2.198625326156616,-0.6930714249610901,1.0016313791275024,0.029659239575266838,2.1000001430511475,0.018473055213689804,1.0,0.0016313791275024414,-2.4814634323120117,-0.6920126676559448,6.709562512696721e-06,0.0,6.709562512696721e-06,4.885321686742827e-05,4.885321686742827e-05,0.09778928011655807,1.0,2.0,-16.570829391479492,1785284683.9172578,8.17630410194397,-27.686174631118774,0.0,0.0,0.0,0.0,0.013721346855163574,0.0,0.0,0.0,0.0,0.0,0.09778928011655807,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
1,0.001281184609979391,0.0005739923799410462,4.741505563288229e-06,0.00019441913173068315,0.00034752674400806427,0.0006853720406070352,6.760157248208998e-06,0.00012775805953424424,2.1493492126464844,0.001108763855881989,-11.066128730773926,-0.0034537315368652344,0.03128364682197571,0.015966882929205894,0.0010603026021271944,0.019030587747693062,0.4733639359474182,0.01292408537119627,0.0006946870125830173,0.4872053861618042,2.633110523223877,0.01848575659096241,-5.438615798950195,-0.7353280782699585,0.3867105543613434,0.03750744089484215,7.117863178253174,0.0019565720576792955,0.39389604330062866,0.007185488939285278,-2.3083925247192383,-0.6793842911720276,0.799056351184845,0.051606349647045135,5.480560302734375,0.004193552769720554,0.7943395376205444,0.004716813564300537,-1.994864821434021,-0.6900144815444946,1.002211570739746,0.04020688310265541,2.1000781059265137,0.033923231065273285,1.0,0.0022115707397460938,-2.1772027015686035,-0.6920126080513,1.0023094415664673,0.02962394803762436,2.1000001430511475,0.018429119139909744,1.0,0.002309441566467285,-2.4804060459136963,-0.690868079662323,7.044122412480647e-06,0.0,7.044122412480647e-06,5.087483805255033e-05,5.087483805255033e-05,0.09778722375631332,1.0,2.0,-16.571216583251953,1785284684.042418,8.301464319229126,-27.561014413833618,19.876853061819418,2.341985412294495,3.445077162851626,0.15505058373383906,0.01026761531829834,0.0,0.0,0.0,0.0,0.0,0.1955765038728714,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
2,0.0012922128662467003,0.0005830174777656794,4.8611086640448775e-06,0.00022009786334820092,0.0004195850342512131,0.0006912114913575351,6.8327267399581615e-06,0.00014414048928301781,2.150362491607666,0.001106932875700295,-11.060281753540039,-0.058652520179748535,0.03370942175388336,0.01603565365076065,0.0010889146942645311,0.021075187250971794,0.47130125761032104,0.012976572848856449,0.0007130838348530233,0.48462679982185364,2.6182992458343506,0.01836284250020981,-5.455570697784424,-0.7580684423446655,0.3815946578979492,0.03718757629394531,7.0772881507873535,0.0019276617094874382,0.3859082758426666,0.004313617944717407,-2.3299612998962402,-0.6881015300750732,0.8020512461662292,0.05346750095486641,5.552706718444824,0.0044681234285235405,0.7953994274139404,0.006651818752288818,-1.9558346271514893,-0.6873431205749512,1.0034645795822144,0.040813472121953964,2.1000866889953613,0.034951671957969666,1.0,0.0034645795822143555,-2.159151315689087,-0.6904449462890625,1.0026829242706299,0.029690776020288467,2.1000001430511475,0.018512360751628876,1.0,0.002682924270629883,-2.4766170978546143,-0.6900851726531982,7.1614672378927935e-06,0.0,7.1614672378927935e-06,5.158010026207194e-05,5.158010026207194e-05,0.09778657555580139,1.0,2.0,-16.589717864990234,1785284684.1378722,8.396918535232544,-27.4655601978302,39.77220740537712,4.665919438709474,6.88636537764417,0.3101010501228527,0.0,0.0,0.0,0.0,0.0,0.0,0.2933630794286728,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
3,0.0012860377319157124,0.0005920114344917238,4.988396540284157e-06,0.00023486121790483594,0.00048310309648513794,0.0006969094974920154,6.9127927417866886e-06,0.0001536816853331402,2.1511356830596924,0.0011015855707228184,-11.059896469116211,-0.12022054195404053,0.03569991886615753,0.016077062115073204,0.0011119743576273322,0.023465096950531006,0.4695796072483063,0.012971899472177029,0.0007239165715873241,0.4811011552810669,2.6056735515594482,0.0168058592826128,-5.611012935638428,-0.8732852339744568,0.377443790435791,0.03681337088346481,7.032654285430908,0.0018937966087833047,0.3737316131591797,0.003712177276611328,-2.341721296310425,-0.6893340945243835,0.8048142194747925,0.055370498448610306,5.627394676208496,0.004756302107125521,0.8002749085426331,0.004539310932159424,-1.9266148805618286,-0.690626859664917,1.0044336318969727,0.041415292769670486,2.100095748901367,0.03598694130778313,1.0,0.004433631896972656,-2.141387701034546,-0.6888495683670044,1.0029722452163696,0.029745591804385185,2.1000001430511475,0.018580779433250427,1.0,0.002972245216369629,-2.473435401916504,-0.6894029974937439,7.232145890156971e-06,0.0,7.232145890156971e-06,5.20039138791617e-05,5.20039138791617e-05,0.09778614342212677,1.0,2.0,-16.719568252563477,1785284684.2224975,8.481543779373169,-27.380934953689575,59.79741213650806,6.972089850469912,10.324471896498604,0.4651514458332141,0.0,0.0,0.0,0.0,0.0,0.0,0.39114922285079956,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
4,0.0012741913087666035,0.0006012081867083907,5.1200327106926125e-06,0.00023127502936404198,0.0005499832332134247,0.0007018340402282774,6.977371867833426e-06,0.000150998544995673,2.1519155502319336,0.0011166302720084786,-11.015937805175781,-0.13665711879730225,0.03757272660732269,0.016117213293910027,0.0011364856036379933,0.02518082968890667,0.46791043877601624,0.01294542383402586,0.0007331901579163969,0.4792892336845398,2.5925819873809814,0.016823677346110344,-5.610819339752197,-0.874885618686676,0.3736342787742615,0.03637228161096573,6.981139183044434,0.001854123780503869,0.36899906396865845,0.004635214805603027,-2.350046157836914,-0.6870570182800293,0.8082230091094971,0.05755354464054108,5.721761226654053,0.005092433653771877,0.8035120964050293,0.0047109127044677734,-1.8886901140213013,-0.6906347274780273,1.0052192211151123,0.04207134246826172,2.100105047225952,0.037132807075977325,1.0,0.005219221115112305,-2.1227893829345703,-0.6873759031295776,1.0033239126205444,0.0297524593770504,2.1000001430511475,0.018589360639452934,0.99609375,0.007230162620544434,-2.437570810317993,-0.6710018515586853,7.380957413261058e-06,0.0,7.380957413261058e-06,5.2894087275490165e-05,5.2894087275490165e-05,0.09778527915477753,1.0,2.0,-16.679615020751953,1785284684.327993,8.587039232254028,-27.275439500808716,79.78266363582748,9.259661944130375,13.726713823754526,0.6202016927320524,0.0,0.0,0.0,0.0,0.0,0.0,0.4889345020055771,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
5,0.001258710864931345,0.0006113167619332671,5.2668151511170436e-06,0.0002936427481472492,0.0006283130496740341,0.0007063187076710165,7.03099658494466e-06,0.0001912510342663154,2.1527488231658936,0.0010594242485240102,-11.121774673461914,-0.3081310987472534,0.0394163578748703,0.01616457663476467,0.0011643412290140986,0.027570217847824097,0.46618399024009705,0.012915794737637043,0.0007433508872054517,0.47573864459991455,2.578692674636841,0.015219147317111492,-5.763792037963867,-0.9796761870384216,0.3700096309185028,0.03590899333357811,6.922383785247803,0.0018133708508685231,0.3606867790222168,0.00932285189628601,-2.3334522247314453,-0.6678703427314758,0.812435507774353,0.060310814529657364,5.842538356781006,0.005530619528144598,0.8091148734092712,0.003320634365081787,-1.8449430465698242,-0.6920104026794434,1.0056991577148438,0.04292440786957741,2.1001172065734863,0.038649462163448334,1.0,0.00569915771484375,-2.1010773181915283,-0.6865365505218506,1.0037673711776733,0.02968609891831875,2.1000001430511475,0.018506526947021484,1.0,0.00376737117767334,-2.470947742462158,-0.6871076822280884,7.5733182711701375e-06,0.0,7.5733182711701375e-06,5.4040297982282937e-05,5.4040297982282937e-05,0.09778408706188202,1.0,2.0,-16.8995361328125,1785284684.432621,8.691667318344116,-27.170811414718628,99.98783624720744,11.525521973047795,17.162332683154613,0.7752517472700329,0.0,0.0,0.0,0.0,0.0,0.0,0.5867185890674591,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
6,0.0012477417476475239,0.0006214153254404664,5.405393494584132e-06,0.00029462596285156906,0.000715622678399086,0.0007102139643393457,7.060603365971474e-06,0.00019129326392430812,2.1538708209991455,0.0010878193425014615,-11.05048942565918,-0.29972052574157715,0.04111725091934204,0.016286682337522507,0.0012063017347827554,0.029970206320285797,0.46438223123550415,0.012990513816475868,0.0007674380321986973,0.4720064401626587,2.5637474060058594,0.013505005277693272,-5.908669948577881,-1.0814573764801025,0.3665635585784912,0.03579774126410484,6.870602130889893,0.0018076878041028976,0.35193508863449097,0.014628469944000244,-2.280167579650879,-0.6305264830589294,0.8157974481582642,0.06397998332977295,5.958952903747559,0.006161378230899572,0.8130068182945251,0.0027906298637390137,-1.7873729467391968,-0.692433774471283,1.0060901641845703,0.04430219158530235,2.1001415252685547,0.04116089269518852,1.0,0.0060901641845703125,-2.068556308746338,-0.6860605478286743,1.0042119026184082,0.029721476137638092,2.1000001430511475,0.01855066418647766,1.0,0.004211902618408203,-2.466846227645874,-0.6856162548065186,7.993851795617957e-06,0.0,7.993851795617957e-06,5.65295122214593e-05,5.65295122214593e-05,0.09778160601854324,1.0,1.0,-16.917509078979492,1785284684.5370774,8.796123743057251,-27.066354990005493,120.2109818047544,13.758860992520024,20.593850027738416,0.9303013812744889,0.0,0.0,0.0,0.0,0.0,0.0,0.6845001950860023,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
7,0.0012862407602369785,0.000630247697699815,5.495234290719964e-06,0.00026567213353700936,0.0008169841021299362,0.0007122713141143322,7.018666110525373e-06,0.00017171552462968975,2.155829906463623,0.0012074485421180725,-10.788742065429688,-0.09521162509918213,0.04273127019405365,0.01658325083553791,0.0012767588486894965,0.0313379131257534,0.46330052614212036,0.013220492750406265,0.0008114556549116969,0.47001802921295166,2.5490450859069824,0.013226239942014217,-5.922999858856201,-1.1124683618545532,0.364827036857605,0.03600112721323967,6.796011924743652,0.0018365639261901379,0.34873440861701965,0.016092628240585327,-2.255655288696289,-0.6182176470756531,0.8162280321121216,0.06894168257713318,6.052897930145264,0.007098415866494179,0.8165693283081055,0.0003412961959838867,-1.7144211530685425,-0.6931380033493042,1.0060977935791016,0.04668053612112999,2.100196123123169,0.045675214380025864,1.0,0.0060977935791015625,-2.017608165740967,-0.6867482662200928,1.0046395063400269,0.030230864882469177,2.1000001430511475,0.019191984087228775,1.0,0.0046395063400268555,-2.447317600250244,-0.6843149065971375,8.965565939433873e-06,0.0,8.965565939433873e-06,6.220008799573407e-05,6.220008799573407e-05,0.09777587652206421,1.0,1.0,-16.65496826171875,1785284684.6313365,8.890382766723633,-26.97209596633911,140.1715865450406,15.941251868986882,24.00583874492659,1.0853500435648011,0.0,0.0,0.0,0.0,0.0,0.0,0.7822760716080666,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
8,0.0013406393118202686,0.0006372691132128239,5.55485712538939e-06,0.0003434843965806067,0.0009038615971803665,0.0007135650957934558,6.964570729905972e-06,0.00022088282275944948,2.1577517986297607,0.0012086265487596393,-10.784820556640625,-0.12460935115814209,0.044487640261650085,0.016974134370684624,0.0013638429809361696,0.03340226411819458,0.46221959590911865,0.013542029075324535,0.0008680737810209394,0.4681171178817749,2.535679817199707,0.012556525878608227,-5.94502592086792,-1.1552326679229736,0.3636362850666046,0.03623679280281067,6.725227355957031,0.0018688900163397193,0.34897422790527344,0.014662057161331177,-2.268798589706421,-0.6317538022994995,0.817122220993042,0.07418662309646606,6.134923458099365,0.008165689185261726,0.822166383266449,0.005044162273406982,-1.6389702558517456,-0.6914135217666626,1.0062726736068726,0.04916457459330559,2.100254774093628,0.05063740909099579,1.0,0.006272673606872559,-1.96634042263031,-0.6870429515838623,1.004935383796692,0.030672306194901466,2.1000001430511475,0.01975656859576702,0.9990234375,0.0059119462966918945,-2.422927141189575,-0.6792156100273132,9.841764040174894e-06,0.0,9.841764040174894e-06,6.722570833517238e-05,6.722570833517238e-05,0.09777089953422546,1.0,1.0,-16.675241470336914,1785284684.7359104,8.994956731796265,-26.86752200126648,160.152464493945,18.072375002343083,27.393437003054093,1.2403978296570126,0.0,0.0,0.0,0.0,0.0,0.0,0.880046971142292,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
9,0.0014348202385008335,0.0006410153582692146,5.5508098739665e-06,0.0003809361660387367,0.0009835418313741684,0.0007125726551748812,6.859268523840001e-06,0.00024383697018492967,2.159886360168457,0.0012875694083049893,-10.614851951599121,0.03143811225891113,0.04663585126399994,0.01740737445652485,0.0014547714963555336,0.03579963743686676,0.46122846007347107,0.013810618780553341,0.0009157026652246714,0.4659300446510315,2.5261826515197754,0.011812214739620686,-5.971139907836914,-1.197515845298767,0.3630836308002472,0.03630905970931053,6.662704944610596,0.001883834251202643,0.34770452976226807,0.015379101037979126,-2.257563829421997,-0.6258707046508789,0.8192139267921448,0.07853128015995026,6.211894989013672,0.009095611050724983,0.823891818523407,0.004677891731262207,-1.5831841230392456,-0.6918165683746338,1.006553292274475,0.05143854394555092,2.1003103256225586,0.05540068820118904,1.0,0.006553292274475098,-1.9211634397506714,-0.6870605945587158,1.0049262046813965,0.031165527179837227,2.1000001430511475,0.020397065207362175,1.0,0.004926204681396484,-2.4158236980438232,-0.6837778687477112,1.0693439435272012e-05,0.0,1.0693439435272012e-05,7.203948189271614e-05,7.203948189271614e-05,0.09776603430509567,1.0,1.0,-16.520545959472656,1785284684.8406453,9.09969162940979,-26.762787103652954,179.9786469319851,20.158321152819646,30.773931818035845,1.395444764073829,0.03143811225891113,0.0,0.0,0.0,0.0,0.0,0.9778130054473877,0.0,0.0,0.0,0.5,0.5,0.5,65.94,True,5.476089954376221
