window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,traffic_light_state_pred_mean,traffic_light_state_pred_var,traffic_light_state_actual,traffic_light_state_residual,traffic_light_state_nll,traffic_light_detected_pred,traffic_light_detected_actual,traffic_light_detected_residual,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_state,cusum_tl_discrepancy,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.0006698937504552305,4.0966179426504823e-07,0.0004110886075068265,0.00046290201134979725,3.2294664720211586e-07,0.00026790209813043475,0.0003240448422729969,-12.848357200622559,0.08351190388202667,0.0007702592993155122,0.03870026394724846,0.5026792883872986,0.00033021694980561733,0.4822384715080261,0.04925352707505226,-3.818228244781494,0.49289968609809875,0.00037440386950038373,0.4260508120059967,0.06684887409210205,2.9417004585266113,0.9622209072113037,0.005046408157795668,0.8888652324676514,0.07335567474365234,-1.19244384765625,0.28137528896331787,0.008696414530277252,0.2123730480670929,0.06900224089622498,-1.1797324419021606,0.5386131405830383,0.0,0.5386131405830383,0.05594256520271301,0.0,0.05594256520271301,0.028406301513314247,0.028406301513314247,1.0,2.0,-14.432089805603027,1785284892.029145,3.003659725189209,180.42571258544922,0.0,0.0,0.0,114.88,True,2.2103452682495117
1,0.0006976529257372022,3.7012898701505037e-07,0.0004115581978112459,0.0004898293409496546,2.9478769647539593e-07,0.00026750698452815413,0.00036232228740118444,-12.89093017578125,0.08669272065162659,0.0007368064252659678,0.04136520251631737,0.4994407594203949,0.0003059538430534303,0.4746750593185425,0.05165195092558861,-3.418163299560547,0.49109023809432983,0.0003364368749316782,0.39195573329925537,0.09913450479507446,11.525876998901367,0.9649703502655029,0.004825145471841097,0.9023598432540894,0.06261050701141357,-1.3418054580688477,0.2560631036758423,0.007820186205208302,0.3074414134025574,0.05137830972671509,-1.3378082513809204,0.5500404238700867,0.0,0.5500404238700867,0.05859578400850296,0.0,0.05859578400850296,0.03015202470123768,0.03015202470123768,1.0,3.0,-9.86252212524414,1785284892.1348376,3.1093523502349854,180.531405210495,215.12575346799616,0.3371280516195958,0.0,114.88,True,2.2103452682495117
2,0.0007219385006465018,3.4176034091615293e-07,0.00042990536894649267,0.0005325567908585072,2.7478307629280607e-07,0.0002788334677461535,0.00038685768959112465,-12.91843318939209,0.08994878828525543,0.0007117902277968824,0.043916016817092896,0.49329450726509094,0.00029729734524153173,0.456952840089798,0.05864923447370529,-2.1366586685180664,0.4866026043891907,0.00031863749609328806,0.36393997073173523,0.12266263365745544,20.50330352783203,0.9686522483825684,0.004757223650813103,0.915389895439148,0.05326235294342041,-1.4569417238235474,0.22694751620292664,0.00691981753334403,0.3050244152545929,0.07807689905166626,-1.127270221710205,0.5622461438179016,0.0,0.5622461438179016,0.06134813278913498,0.0,0.06134813278913498,0.03198903799057007,0.03198903799057007,1.0,2.0,-4.376108169555664,1785284892.229456,3.2039706707000732,180.62602353096008,424.76509298030385,0.4637180735684763,0.0,114.88,True,2.2103452682495117
3,0.0010568018769845366,2.6032270739051455e-07,0.0008448378066532314,0.0007797286380082369,2.418774442958238e-07,0.00048302527284249663,0.00036463906872086227,-13.091939926147461,0.1112850084900856,0.000530439312569797,0.09906444698572159,0.5531157851219177,0.0004611833137460053,0.548453688621521,0.01307965163141489,-5.609546184539795,0.5347960591316223,0.0005257184966467321,0.5736976861953735,0.03890162706375122,-1.417130708694458,0.9768847227096558,0.0038404029328376055,1.0,0.02311527729034424,-1.7925854921340942,0.3243222236633301,0.0044626803137362,0.33000001311302185,0.0056777894496917725,-1.7834525108337402,0.7703006267547607,1.0,0.22969937324523926,0.05381690338253975,0.0,0.05381690338253975,0.02702593430876732,0.02702593430876732,1.0,1.0,-18.28814125061035,1785284892.3356419,3.3101565837860107,180.73220944404602,648.3164655736662,1.246490384640892,0.0,114.88,True,2.2103452682495117
4,0.0010853279381990433,2.486738139850786e-07,0.0010670869378373027,0.0007978538051247597,2.3131345017191052e-07,0.0006127493688836694,0.0001860010379459709,-13.330698013305664,0.11454551666975021,0.0005177867133170366,0.10496950149536133,0.5549233555793762,0.00044352226541377604,0.5505781769752502,0.010515733622014523,-5.695643424987793,0.5354419350624084,0.0004972229362465441,0.5728980898857117,0.03745615482330322,-1.4734981060028076,0.9786570072174072,0.003751108655706048,1.0,0.021342992782592773,-1.8131948709487915,0.3250357508659363,0.004377278033643961,0.33000001311302185,0.004964262247085571,-1.7939106225967407,0.7830159664154053,1.0,0.21698403358459473,0.054587893187999725,0.0,0.054587893187999725,0.02752469666302204,0.02752469666302204,1.0,1.0,-18.62396240234375,1785284892.419994,3.3945088386535645,180.81656169891357,872.203659318762,2.039720807476308,0.0,114.88,True,2.2103452682495117
5,0.0011129440972581506,2.3710428820322704e-07,0.0011151860235258937,0.0008190737571567297,2.207118399155661e-07,0.000643633829895407,0.00017545426089782268,-13.382972717285156,0.11794546991586685,0.0005056685768067837,0.10938793420791626,0.55621337890625,0.00042465986916795373,0.5519449710845947,0.00956298690289259,-5.745185852050781,0.5356862545013428,0.0004676742246374488,0.5718241333961487,0.03613787889480591,-1.5187171697616577,0.9803487062454224,0.0036582830362021923,1.0,0.019651293754577637,-1.833661437034607,0.32589757442474365,0.004282741341739893,0.33000001311302185,0.004102438688278198,-1.8056777715682983,0.7947811484336853,1.0,0.2052188515663147,0.055194299668073654,0.0,0.055194299668073654,0.027918517589569092,0.027918517589569092,1.0,1.0,-18.738481521606445,1785284892.524758,3.4992728233337402,180.92132568359375,1096.2053721831205,2.8447183792832815,0.0,114.88,True,2.2103452682495117
6,0.0011440645903348923,2.2417647471684177e-07,0.0014238309813663363,0.0008458578959107399,2.087338657474902e-07,0.0008272227714769542,0.00028038633172400296,-13.33323860168457,0.12180200964212418,0.0004926716210320592,0.11674920469522476,0.5573662519454956,0.0004013104480691254,0.5539880990982056,0.006078055128455162,-5.840215682983398,0.5356999039649963,0.000431893568020314,0.5709118247032166,0.035211920738220215,-1.5193278789520264,0.9824604988098145,0.0035427268594503403,1.0,0.017539501190185547,-1.8590730428695679,0.32552605867385864,0.00415768101811409,0.33000001311302185,0.004473954439163208,-1.8200531005859375,0.8067533373832703,1.0,0.19324666261672974,0.05592656508088112,0.0,0.05592656508088112,0.028395848348736763,0.028395848348736763,1.0,1.0,-18.76507568359375,1785284892.6408331,3.6153478622436523,181.03740072250366,1320.2336792094663,3.664091280107894,0.0,114.88,True,2.2103452682495117
7,0.0011855633929371834,2.099579887726577e-07,0.001089571276679635,0.0008821703959256411,1.9570605047647405e-07,0.0006379135302267969,0.00026244219043292105,-13.39925765991211,0.12686610221862793,0.0004776596324518323,0.12042337656021118,0.5576683878898621,0.0003756241931114346,0.5549982786178589,0.00697410898283124,-5.875949382781982,0.5349320769309998,0.00039237458258867264,0.5686957240104675,0.03376364707946777,-1.5500354766845703,0.9844851493835449,0.0034168653655797243,1.0,0.015514850616455078,-1.8853535652160645,0.32552802562713623,0.00398930162191391,0.33000001311302185,0.00447198748588562,-1.840624451637268,0.8183284997940063,1.0,0.18167150020599365,0.055757246911525726,0.0,0.055757246911525726,0.028285300359129906,0.028285300359129906,1.0,1.0,-18.87503433227539,1785284892.7367222,3.7112369537353516,181.13328981399536,1544.3719448844938,4.504035531983837,0.0,114.88,True,2.2103452682495117
8,0.0012277225032448769,1.997918417373512e-07,0.0012901016743853688,0.0009165497031062841,1.8603300588893035e-07,0.0007606000872328877,0.00016796262934803963,-13.548685073852539,0.13174653053283691,0.0004661901912186295,0.12700439989566803,0.5576710104942322,0.0003576453891582787,0.5554097890853882,0.005253658164292574,-5.934298515319824,0.5341267585754395,0.00036423810524865985,0.5661088228225708,0.03198206424713135,-1.6358140707015991,0.9858262538909912,0.0033238492906093597,1.0,0.014173746109008789,-1.904157042503357,0.32600313425064087,0.003855443326756358,0.33000001311302185,0.0039968788623809814,-1.8581244945526123,0.828470766544342,1.0,0.17152923345565796,0.05597895011305809,0.0,0.05597895011305809,0.028430072590708733,0.028430072590708733,1.0,1.0,-19.114030838012695,1785284892.8409739,3.815488576889038,181.23754143714905,1768.7492070652586,5.361479826775125,0.0,114.88,True,2.2103452682495117
9,0.0012760484823957086,1.915770866389721e-07,0.0013515857281163335,0.0009520405437797308,1.7793519191400264e-07,0.0008038239902816713,0.0001663551083765924,-13.590411186218262,0.13707086443901062,0.00045607969514094293,0.1318391114473343,0.5569127202033997,0.0003438450221437961,0.5556761026382446,0.005375915206968784,-5.963973522186279,0.5328425168991089,0.00034202614915557206,0.5648165941238403,0.031974077224731445,-1.5768357515335083,0.9866563081741333,0.0032454633619636297,1.0,0.0133436918258667,-1.9188789129257202,0.32709234952926636,0.0037472310941666365,0.33000001311302185,0.002907663583755493,-1.8733024597167969,0.8395289778709412,1.0,0.16047102212905884,0.05710957944393158,0.0,0.05710957944393158,0.02917107194662094,0.02917107194662094,1.0,1.0,-19.150007247924805,1785284892.9457588,3.920273542404175,181.34232640266418,1993.1624456559355,6.234102086730597,0.0,114.88,True,2.2103452682495117
