window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,-2.540892455726862e-05,5.629202703971714e-08,-4.68499649741716e-07,3.554811701178551e-05,4.529128361241419e-08,-4.54362094615135e-07,4.3797299440484494e-05,-14.943719863891602,-1.3714185953140259,0.00896523892879486,0.0004048500268254429,1.5392547538795043e-06,0.4990054666996002,5.86219493925455e-06,0.5000022649765015,0.009018952958285809,-7.907634735107422,-1.2483103275299072,0.4931642413139343,3.561965422704816e-05,0.5036460161209106,0.010481774806976318,-2.660134792327881,0.4635274410247803,0.013996750116348267,0.003240706631913781,0.0,0.013996750116348267,-1.916817307472229,-0.6704774498939514,0.981026291847229,0.0063129570335149765,1.0,0.018973708152770996,-1.585124135017395,-0.6717624664306641,0.9917053580284119,0.0036463055294007063,1.0,0.008294641971588135,-1.8786475658416748,-0.6860713958740234,0.00011429435107856989,0.0,0.00011429435107856989,0.0005186051712371409,0.0005186051712371409,0.0973193496465683,1.0,1.0,-22.599895477294922,1784737635.678349,2.99931001663208,,0.0,0.0,0.0,0.0,0.0,0.0,0.4635274410247803,0.0,0.0,0.0,0.0973193496465683,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
1,-3.215670585632324e-05,5.3057245708032497e-08,-1.8163212871513679e-06,3.675464540719986e-05,4.304715517378099e-08,-9.930338364938507e-07,4.842959970119409e-05,-14.993329048156738,-1.367375373840332,0.009853079915046692,0.00038084847619757056,0.0,0.499111145734787,5.403126579039963e-06,0.49999943375587463,0.009893040172755718,-7.962468147277832,-1.2359381914138794,0.4935334026813507,3.279176962678321e-05,0.5032333731651306,0.009699970483779907,-2.809077739715576,0.3828403949737549,0.010202914476394653,0.002944106701761484,0.0,0.010202914476394653,-1.9773571491241455,-0.6798877120018005,0.9829847812652588,0.005942945834249258,1.0,0.01701521873474121,-1.619478464126587,-0.6748785972595215,0.993043839931488,0.003530483692884445,1.0,0.006956160068511963,-1.8973687887191772,-0.6880074739456177,0.00011299168545519933,0.0,0.00011299168545519933,0.0005136768450029194,0.0005136768450029194,0.09732432663440704,1.0,1.0,-22.76784324645996,1784737635.7838244,3.104785442352295,,2.771606647643658,0.0,0.4221388415596846,0.0,0.0,0.0,0.8463678359985352,0.0,0.0,0.0,0.19464367628097534,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
2,-3.521796315908432e-05,5.099697730770458e-08,-8.761785466049332e-07,3.415229730308056e-05,4.1576189602210434e-08,-5.937080800322292e-07,4.8853278713067994e-05,-15.029661178588867,-1.3667328357696533,0.010330021381378174,0.0003645876422524452,9.750160501198479e-08,0.4992111921310425,5.105534910399001e-06,0.499980628490448,0.010358540341258049,-8.008768081665039,-1.2330549955368042,0.49380287528038025,3.0885963496984914e-05,0.5027928948402405,0.00899001955986023,-2.965297222137451,0.28812921047210693,0.007819980382919312,0.002741632517427206,0.0,0.007819980382919312,-2.01951003074646,-0.6847828030586243,0.9828159809112549,0.005709913559257984,1.0,0.017184019088745117,-1.6379793882369995,-0.6737539172172546,0.9935171008110046,0.003461704822257161,1.0,0.006482899188995361,-1.90798819065094,-0.6885943412780762,0.00011223634646739811,0.0,0.00011223634646739811,0.0005108145996928215,0.0005108145996928215,0.09732724726200104,1.0,1.0,-22.91932487487793,1784737635.8788967,3.199857711791992,,5.694694923705285,0.0,0.8548970850511319,0.0,0.0,0.0,1.134497046470642,0.0,0.0,0.0,0.2919709235429764,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
3,-3.857433330267668e-05,4.953763266257738e-08,-1.2149660051363753e-06,3.201782237738371e-05,4.053210034271615e-08,-5.897420010114729e-07,4.958805948263034e-05,-15.055770874023438,-1.3658915758132935,0.01057039201259613,0.0003530931717250496,7.064783744681336e-07,0.4992876648902893,4.901587999484036e-06,0.5000361800193787,0.010596156120300293,-8.034135818481445,-1.224780559539795,0.49398303031921387,2.969634806504473e-05,0.5027468800544739,0.00876384973526001,-3.000131130218506,0.2767329216003418,0.006291896104812622,0.0026116850785911083,0.0,0.006291896104812622,-2.0473620891571045,-0.6874629259109497,0.9820884466171265,0.005571845453232527,1.0,0.017911553382873535,-1.647286295890808,-0.6715549230575562,0.9935186505317688,0.003423724789172411,1.0,0.006481349468231201,-1.9134397506713867,-0.6885460615158081,0.00011091399210272357,0.0,0.00011091399210272357,0.0005057963426224887,0.0005057963426224887,0.09733222424983978,1.0,1.0,-22.983144760131836,1784737635.9848382,3.3057992458343506,,8.681603085020818,0.0,1.2931068885630261,0.0,0.0,0.0,1.4112299680709839,0.0,0.0,0.0,0.38930314779281616,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
4,-4.023406654596329e-05,4.8775273597811974e-08,2.1557868876698194e-06,2.975726965814829e-05,3.999002728960477e-08,1.4286030136645422e-06,5.098443944007158e-05,-15.069007873535156,-1.3649537563323975,0.010729745030403137,0.00034604896791279316,0.0,0.4993469715118408,4.7864978114375845e-06,0.5000094771385193,0.0107501782476902,-8.059248924255371,-1.2271482944488525,0.49411043524742126,2.8990069040446542e-05,0.5027695298194885,0.00865909457206726,-3.0121397972106934,0.27675294876098633,0.005168825387954712,0.0025236844085156918,0.0,0.005168825387954712,-2.066786050796509,-0.6891772747039795,0.9809865951538086,0.005486593581736088,1.0,0.019013404846191406,-1.6508405208587646,-0.6684385538101196,0.9934396147727966,0.0034095183946192265,1.0,0.006560385227203369,-1.915342092514038,-0.6884135007858276,0.00011090171756222844,0.0,0.00011090171756222844,0.0005057498347014189,0.0005057498347014189,0.09733222424983978,1.0,1.0,-23.022476196289062,1784737636.080118,3.401078939437866,,11.707842682493578,0.0,1.7332190339175715,0.0,0.0,0.0,1.6879829168319702,0.0,0.0,0.0,0.48663537204265594,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
5,-4.208844620734453e-05,4.8396547214224483e-08,4.081442511960631e-06,2.7961330488324165e-05,3.973275397584075e-08,2.1887901766604045e-06,5.28761011082679e-05,-15.07420539855957,-1.3635082244873047,0.010803192853927612,0.00034166581463068724,1.2230344736963161e-06,0.49937424063682556,4.730346063297475e-06,0.5000163316726685,0.01082103606313467,-8.06938362121582,-1.2255440950393677,0.4941829442977905,2.8702585041173734e-05,0.5027873516082764,0.00860440731048584,-3.0206165313720703,0.27413272857666016,0.0045140087604522705,0.002466408768668771,0.0,0.0045140087604522705,-2.0794267654418945,-0.6900491118431091,0.9801361560821533,0.0054616923443973064,1.0,0.01986384391784668,-1.6499379873275757,-0.6660558581352234,0.9931896924972534,0.0034206118434667587,1.0,0.006810307502746582,-1.9132499694824219,-0.6880625486373901,0.00011184425238752738,0.0,0.00011184425238752738,0.0005093278596177697,0.0005093278596177697,0.09732864797115326,1.0,1.0,-23.040019989013672,1784737636.1842206,3.5051815509796143,,14.751626072690947,0.0,2.1712390562405006,0.0,0.0,0.0,1.9621156454086304,0.0,0.0,0.0,0.5839640200138092,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
6,-4.326808266341686e-05,4.8438536737194227e-08,6.768462412765075e-07,2.6406021788716316e-05,3.977685025802202e-08,3.3721843806233665e-07,5.109539415570907e-05,-15.07512092590332,-1.3649369478225708,0.010844528675079346,0.00033987389178946614,4.1340868506267725e-07,0.4993819296360016,4.7345165512524545e-06,0.4999808371067047,0.010860641486942768,-8.075028419494629,-1.2281358242034912,0.4942001402378082,2.8803347959183156e-05,0.5027873516082764,0.00858721137046814,-3.028507709503174,0.2669001817703247,0.004266291856765747,0.0024372984189540148,0.0,0.004266291856765747,-2.0857603549957275,-0.6903467774391174,0.9790661334991455,0.005470883566886187,1.0,0.020933866500854492,-1.6451683044433594,-0.6631090641021729,0.9925107359886169,0.0034480993635952473,1.0,0.007489264011383057,-1.9078941345214844,-0.6870471835136414,0.00011368261039024219,0.0,0.00011368261039024219,0.0005162919987924397,0.0005162919987924397,0.09732172638177872,1.0,1.0,-23.04939842224121,1784737636.2785513,3.5995123386383057,,17.804787896115855,0.0,2.6039032436024923,0.0,0.0,0.0,2.229015827178955,0.0,0.0,0.0,0.6812857463955879,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
7,-4.3631065636873245e-05,4.8943892494435204e-08,1.6771190303188632e-06,2.564059104770422e-05,4.0157289049602696e-08,1.3004455468035303e-06,5.143223097547889e-05,-15.065301895141602,-1.365033507347107,0.010940417647361755,0.0003406304749660194,1.811684313679507e-07,0.4993766248226166,4.81307370137074e-06,0.5000646114349365,0.010961847379803658,-8.051708221435547,-1.2176508903503418,0.494127482175827,2.9388744223979302e-05,0.5027896761894226,0.008662194013595581,-3.021940231323242,0.26428067684173584,0.0043822526931762695,0.002442115917801857,0.0,0.0043822526931762695,-2.0845749378204346,-0.6901983022689819,0.9772984981536865,0.005474329460412264,1.0,0.022701501846313477,-1.637833833694458,-0.6578443646430969,0.9916431307792664,0.003478068159893155,1.0,0.008356869220733643,-1.9016609191894531,-0.6856174468994141,0.00011637732677627355,0.0,0.00011637732677627355,0.0005264660576358438,0.0005264660576358438,0.09731156378984451,1.0,1.0,-23.01763916015625,1784737636.3840084,3.7049694061279297,,20.8261904574558,0.0,3.0303342156324526,0.0,0.0,0.0,2.493296504020691,0.0,0.0,0.0,0.7785973101854324,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
8,-4.203070420771837e-05,5.006080883163122e-08,3.270509409958322e-07,2.5611487217247486e-05,4.09680467328144e-08,6.363413973531351e-08,4.946587068843655e-05,-15.046487808227539,-1.366879940032959,0.011172398924827576,0.00034424979821778834,0.0,0.4993516504764557,4.978562174073886e-06,0.4999433159828186,0.011188054457306862,-8.037924766540527,-1.2239539623260498,0.4939494729042053,3.0448445613728836e-05,0.48566633462905884,0.008283138275146484,-3.154134750366211,0.15185147523880005,0.004980653524398804,0.0024710954166948795,0.0,0.004980653524398804,-2.0775887966156006,-0.6893826127052307,0.9746301174163818,0.0054427701979875565,1.0,0.025369882583618164,-1.628667950630188,-0.6488018035888672,0.9911181330680847,0.0035020471550524235,1.0,0.008881866931915283,-1.8970022201538086,-0.6846998929977417,0.00012093840632587671,0.0,0.00012093840632587671,0.0005435981438495219,0.0005435981438495219,0.09729436784982681,1.0,1.0,-23.05389404296875,1784737636.4795806,3.800541639328003,,23.88384790160825,0.0,3.4521064886267685,0.0,0.0,0.0,2.645147979259491,0.0,0.0,0.0,0.8758916780352592,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
9,-4.669546615332365e-05,4.9959766101892455e-08,-9.466407959735079e-07,2.0882580429315567e-05,4.077866933016594e-08,-7.589093229398713e-07,5.060937473899685e-05,-15.04901123046875,-1.3662775754928589,0.010481342673301697,0.0003435074759181589,7.215280675154645e-07,0.49931833148002625,5.004520517104538e-06,0.49997591972351074,0.010501230135560036,-8.04977035522461,-1.2339781522750854,0.4933699369430542,3.084497438976541e-05,0.49603357911109924,0.002663642168045044,-4.1593194007873535,-0.6068893671035767,0.006705194711685181,0.002462254138663411,0.0,0.006705194711685181,-2.075270891189575,-0.6862998604774475,0.9724650382995605,0.005437632091343403,1.0,0.027534961700439453,-1.6185518503189087,-0.6408605575561523,0.9913469552993774,0.003479871666058898,1.0,0.008653044700622559,-1.9006831645965576,-0.6850784420967102,0.00011993022781098261,0.0,0.00011993022781098261,0.0005398206994868815,0.0005398206994868815,0.09729815274477005,1.0,1.0,-23.5684871673584,1784737636.5844061,3.905367136001587,,27.456098470150344,0.0,3.877559706063833,0.0,0.0,0.0,2.0382586121559143,0.0,0.0,0.0,0.9731898307800293,0.0,0.0,0.0,0.5,0.5,0.5,,False,3.5051815509796143
