window,position_pred_mean_0,position_pred_scale_0,position_pred_implied_var_0,position_actual_0,position_pred_mean_1,position_pred_scale_1,position_pred_implied_var_1,position_actual_1,position_pred_dof,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_scale_0,velocity_pred_implied_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_scale_1,velocity_pred_implied_var_1,velocity_actual_1,velocity_pred_dof,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_scale,steering_pred_dof,steering_pred_implied_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_scale,acceleration_pred_dof,acceleration_pred_implied_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_scale,traffic_light_color_pred_dof,traffic_light_color_pred_implied_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_scale,traffic_light_confidence_pred_dof,traffic_light_confidence_pred_implied_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,-0.0011855610646307468,0.0005469371099025011,4.7289695430663414e-06,-3.2120099149324233e-06,0.00023617595434188843,0.0007590719033032656,9.108724043471739e-06,-1.706996727079968e-06,2.135057210922241,0.0012060421286150813,-10.741328239440918,0.4029940366744995,0.0032668858766555786,0.011942406184971333,0.00041766674257814884,0.0,0.4966922402381897,0.00528611009940505,8.183114550774917e-05,0.4986380934715271,3.037071943283081,0.00380248436704278,-7.533254146575928,-1.3074190616607666,0.47780516743659973,0.01345902681350708,5.946919918060303,0.0002729361585807055,0.47369384765625,0.0041113197803497314,-3.2932422161102295,-0.6581553816795349,0.6845862865447998,0.061567120254039764,4.691025733947754,0.006607659626752138,0.700061559677124,0.015475273132324219,-1.7777111530303955,-0.6694546937942505,0.3366650938987732,0.009320339187979698,2.0999999046325684,0.0018242448568344116,0.33000001311302185,0.006665080785751343,-3.303457736968994,-0.501378059387207,1.002172589302063,0.02165020816028118,2.0999999046325684,0.009843370877206326,1.0,0.0021725893020629883,-2.791038751602173,-0.6893709301948547,7.440502258759807e-07,0.0,7.440502258759807e-07,7.81626113166567e-06,7.81626113166567e-06,0.09783035516738892,1.0,2.0,-18.414552688598633,1784743809.2593408,3.0245981216430664,,0.0,0.0,0.0,0.0,0.4029940366744995,0.0,0.0,0.0,0.0,0.0,0.09783035516738892,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
1,-0.0009544338099658489,0.0005439782980829477,4.635039658751339e-06,-4.122513928450644e-06,0.00036266446113586426,0.0007491412106901407,8.790582796791568e-06,-2.6314692149753682e-06,2.136392593383789,0.0010181025136262178,-11.091409683227539,-0.15267133712768555,0.005350708961486816,0.011720240116119385,0.0004014534642919898,0.0,0.49626481533050537,0.005470765754580498,8.746985986363143e-05,0.500889003276825,3.0402841567993164,0.007072001229971647,-7.094767093658447,-1.0402145385742188,0.47415387630462646,0.01415705494582653,6.072659492492676,0.00029884546529501677,0.47370031476020813,0.00045356154441833496,-3.297018051147461,-0.6927622556686401,0.7019694447517395,0.05669620633125305,4.915614128112793,0.005419456399977207,0.7268857955932617,0.024916350841522217,-1.786598801612854,-0.6207215785980225,0.337347149848938,0.00941898301243782,2.0999999046325684,0.0018630638951435685,0.33000001311302185,0.007347136735916138,-3.2363579273223877,-0.4649766981601715,1.0021913051605225,0.021885108202695847,2.0999999046325684,0.010058125481009483,1.0,0.002191305160522461,-2.780280113220215,-0.6893876194953918,1.0403748547105351e-06,0.0,1.0403748547105351e-06,1.0335244041925762e-05,1.0335244041925762e-05,0.09782787412405014,1.0,2.0,-18.415733337402344,1784743809.3646162,3.129873514175415,,0.6697866873390481,0.0,0.0,0.0,0.25032269954681396,0.0,0.0,0.0,0.0,0.0,0.19565822929143906,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
2,-0.0007017231546342373,0.0005462856497615576,4.628348506230395e-06,-2.759605877145077e-06,0.0004446227103471756,0.000744891760405153,8.60543514136225e-06,-1.7966256109502865e-06,2.1378445625305176,0.0008293613791465759,-11.514223098754883,-0.6377014517784119,0.0067291259765625,0.011788821779191494,0.0004084125976078212,0.0,0.4960117042064667,0.00573423458263278,9.66293882811442e-05,0.5008557438850403,3.0316081047058105,0.00829131156206131,-6.9698896408081055,-0.9965062737464905,0.47136926651000977,0.014660653658211231,6.124129772186279,0.00031916756415739655,0.47369182109832764,0.002322554588317871,-3.2484354972839355,-0.683735728263855,0.7156221270561218,0.055366676300764084,5.0930986404418945,0.005047603044658899,0.7387104630470276,0.02308833599090576,-1.8237718343734741,-0.6279363632202148,0.3377220630645752,0.009749860502779484,2.0999999046325684,0.001996257109567523,0.33000001311302185,0.007722049951553345,-3.1910901069641113,-0.4579133987426758,1.0021597146987915,0.022325709462165833,2.0999999046325684,0.010467193089425564,1.0,0.002159714698791504,-2.7608377933502197,-0.6896379590034485,1.2025955129502108e-06,0.0,1.2025955129502108e-06,1.1661699318210594e-05,1.1661699318210594e-05,0.09782646596431732,1.0,2.0,-18.714353561401367,1784743809.4709995,3.2362568378448486,,1.6381935986771197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934846952557564,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
3,-0.0004014563746750355,0.0005514056538231671,4.666699624067405e-06,-5.434823833638802e-06,0.0004974771291017532,0.0007415350410155952,8.439773409918416e-06,-3.6387716590979835e-06,2.1393868923187256,0.0006387098110280931,-12.00251579284668,-1.021607756614685,0.007795199751853943,0.011911043897271156,0.00042174875852651894,0.0,0.49552491307258606,0.0059638312086462975,0.00010573161125648767,0.500710129737854,3.0138280391693115,0.009362244047224522,-6.83545446395874,-0.9422045946121216,0.46851086616516113,0.01499294675886631,6.1374831199646,0.00033344796975143254,0.47368428111076355,0.005173414945602417,-3.172109603881836,-0.6484981775283813,0.7267558574676514,0.05486694350838661,5.243372440338135,0.004866709001362324,0.7473304271697998,0.020574569702148438,-1.853888988494873,-0.6404155492782593,0.3378342092037201,0.010081950575113297,2.0999999046325684,0.0021345620043575764,0.33000001311302185,0.007834196090698242,-3.17099928855896,-0.46671873331069946,1.0020716190338135,0.0227461326867342,2.0999999046325684,0.010865126736462116,1.0,0.0020716190338134766,-2.7429633140563965,-0.6900366544723511,1.3159569789422676e-06,0.0,1.3159569789422676e-06,1.2570810213219374e-05,1.2570810213219374e-05,0.09782560169696808,1.0,2.0,-19.056934356689453,1784743809.5658474,3.3311047554016113,,2.949181305303277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39131029695272446,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
4,-0.0001009153202176094,0.0005583478487096727,4.736209120892454e-06,-7.231641575344838e-06,0.0005391202867031097,0.0007396222790703177,8.310767043440137e-06,-4.897796770819696e-06,2.1409223079681396,0.0005520256818272173,-12.261157989501953,-1.1728577613830566,0.008859410881996155,0.01205127127468586,0.00043766299495473504,0.0,0.49484288692474365,0.006175648421049118,0.00011493155761854723,0.5009402632713318,2.9932851791381836,0.010754866525530815,-6.609306335449219,-0.818076491355896,0.46560558676719666,0.015240916050970554,6.136089324951172,0.00034460684400983155,0.47368574142456055,0.008080154657363892,-3.0644593238830566,-0.5877452492713928,0.7357745170593262,0.05455350503325462,5.377951622009277,0.00473814969882369,0.7553099393844604,0.019535422325134277,-1.8682600259780884,-0.6450597643852234,0.33782070875167847,0.010476067662239075,2.0999999046325684,0.0023047099821269512,0.33000001311302185,0.007820695638656616,-3.1595427989959717,-0.4841572046279907,1.0019924640655518,0.02329186722636223,2.0999999046325684,0.011392742395401001,1.0,0.001992464065551758,-2.7199723720550537,-0.6904030442237854,1.4537670267600333e-06,0.0,1.4537670267600333e-06,1.3658632269653026e-05,1.3658632269653026e-05,0.09782452136278152,1.0,2.0,-19.080833435058594,1784743809.670587,3.4358444213867188,,4.284068090298575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489134818315506,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
5,0.00017232494428753853,0.0005677627050317824,4.85344571643509e-06,-1.1569038633751916e-06,0.0005773454904556274,0.0007415402214974165,8.27915300760651e-06,-6.340771392387978e-07,2.1422855854034424,0.0006034536636434495,-12.157062530517578,-1.123465895652771,0.009540215134620667,0.012244096957147121,0.00045887025771662593,0.000737877853680402,0.49406373500823975,0.006428663618862629,0.000126496292068623,0.5003069639205933,2.970492124557495,0.01079162023961544,-6.5804924964904785,-0.8388071656227112,0.46267321705818176,0.015559427440166473,6.148722171783447,0.00035880436189472675,0.4736902713775635,0.011017054319381714,-2.923492908477783,-0.5051397681236267,0.7435473799705505,0.05425404757261276,5.504347801208496,0.004623415879905224,0.7582015991210938,0.014654219150543213,-1.9071394205093384,-0.6657886505126953,0.33764714002609253,0.011317631229758263,2.1000001430511475,0.0026898605283349752,0.33000001311302185,0.007647126913070679,-3.1421902179718018,-0.5219420194625854,1.0017006397247314,0.024587620049715042,2.0999999046325684,0.012695583514869213,1.0,0.0017006397247314453,-2.667698621749878,-0.6913532018661499,1.8246912532049464e-06,0.0,1.8246912532049464e-06,1.6506359315826558e-05,1.6506359315826558e-05,0.09782160073518753,1.0,2.0,-18.883203506469727,1784743809.7548056,3.5200629234313965,,5.421324946705006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5869564190506935,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
6,0.00039673736318945885,0.0005795801407657564,5.015286205889424e-06,1.5499565051868558e-05,0.0006130095571279526,0.0007489636191166937,8.37510287965415e-06,1.0290697900927626e-05,2.1435718536376953,0.0007131705642677844,-11.881969451904297,-0.9811893701553345,0.010189488530158997,0.012500664219260216,0.0004856808518525213,0.0031999051570892334,0.49327656626701355,0.006720799021422863,0.00014038692461326718,0.5006635189056396,2.94875431060791,0.010169629007577896,-6.503090858459473,-0.8160337209701538,0.460056334733963,0.015841275453567505,6.166794776916504,0.0003713963960763067,0.4736848771572113,0.013628542423248291,-2.779660224914551,-0.4155917167663574,0.7503895163536072,0.054093386977910995,5.6103105545043945,0.004547060001641512,0.7622305154800415,0.011840999126434326,-1.925662875175476,-0.6751783490180969,0.33736124634742737,0.012294570915400982,2.1000003814697266,0.0031742744613438845,0.33000001311302185,0.007361233234405518,-3.1200168132781982,-0.5587142705917358,1.001144528388977,0.026325169950723648,2.0999999046325684,0.014553318731486797,1.0,0.0011445283889770508,-2.601548433303833,-0.6924383640289307,2.383637820457807e-06,0.0,2.383637820457807e-06,2.0623343516490422e-05,2.0623343516490422e-05,0.09781749546527863,1.0,2.0,-18.474271774291992,1784743809.8505547,3.615812063217163,,6.149650070933703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6847739145159721,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
7,0.0005811885930597782,0.000590048439335078,5.149891421751818e-06,3.7479523598449305e-05,0.0006485637277364731,0.0007560077356174588,8.454252565570641e-06,2.488341851858422e-05,2.1450130939483643,0.0008274035644717515,-11.601009368896484,-0.812669575214386,0.01107509434223175,0.012737272307276726,0.0005098404944874346,0.005620109383016825,0.49247321486473083,0.006984814070165157,0.00015331729082390666,0.4989880621433258,2.933469533920288,0.008497064001858234,-6.691788673400879,-0.9912792444229126,0.45811784267425537,0.01603650487959385,6.172203540802002,0.0003804470179602504,0.47353729605674744,0.015419453382492065,-2.6730763912200928,-0.34645044803619385,0.7577695250511169,0.053800068795681,5.719260215759277,0.004450911656022072,0.7665153741836548,0.008745849132537842,-1.944557547569275,-0.6832372546195984,0.337318480014801,0.013044399209320545,2.1000008583068848,0.0035732542164623737,0.33000001311302185,0.007318466901779175,-3.088627338409424,-0.5751087665557861,1.0007195472717285,0.027789060026407242,2.1000001430511475,0.01621684618294239,1.0,0.0007195472717285156,-2.5483314990997314,-0.692895770072937,2.9971611184009816e-06,0.0,2.9971611184009816e-06,2.496023262210656e-05,2.496023262210656e-05,0.09781317412853241,1.0,2.0,-18.290979385375977,1784743809.9565823,3.721839666366577,,6.694682806246384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7825870886445045,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
8,0.0007374030537903309,0.0005986825563013554,5.248628895060392e-06,6.289451266638935e-05,0.000681532546877861,0.0007613373454660177,8.488030289299786e-06,4.1272312955698e-05,2.1465871334075928,0.0009299972443841398,-11.358434677124023,-0.6450777053833008,0.012196004390716553,0.012934071943163872,0.0005305152153596282,0.007527254521846771,0.4915698170661926,0.007235746365040541,0.00016603282711002976,0.498603880405426,2.921138286590576,0.008442468009889126,-6.635464668273926,-0.9830469489097595,0.45622771978378296,0.01626659370958805,6.181795120239258,0.0003911515814252198,0.47348615527153015,0.017258435487747192,-2.5587220191955566,-0.27102237939834595,0.766106367111206,0.053333356976509094,5.84221076965332,0.004325077403336763,0.7723236083984375,0.006217241287231445,-1.961716651916504,-0.688051164150238,0.33737650513648987,0.013534213416278362,2.100001335144043,0.003846624866127968,0.33000001311302185,0.007376492023468018,-3.0631790161132812,-0.581752359867096,1.0004985332489014,0.02885621227324009,2.1000001430511475,0.017486276105046272,1.0,0.0004985332489013672,-2.510922908782959,-0.6930352449417114,3.68210976375849e-06,0.0,3.68210976375849e-06,2.9630271455971524e-05,2.9630271455971524e-05,0.09780852496623993,1.0,2.0,-17.946168899536133,1784743810.0516934,3.816950798034668,,6.894905055719221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8803956136107445,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
9,0.0008580791763961315,0.0006061361054889858,5.324971425579861e-06,8.142911974573508e-05,0.0007118601351976395,0.0007660116534680128,8.504479410476051e-06,5.385962867876515e-05,2.1482181549072266,0.0010179145028814673,-11.160614967346191,-0.4939308166503906,0.01368914544582367,0.013110607862472534,0.0005487257149070501,0.010096176527440548,0.4906911551952362,0.007507867179811001,0.00017994624795392156,0.4942253530025482,2.9122657775878906,0.005039839539676905,-7.026324272155762,-1.2750345468521118,0.4546099007129669,0.01654261164367199,6.194602012634277,0.0004041390202473849,0.4731822609901428,0.018572360277175903,-2.4764199256896973,-0.22047799825668335,0.7753434181213379,0.05277576297521591,5.9798583984375,0.004184969700872898,0.781157374382019,0.005813956260681152,-1.9740710258483887,-0.6885961890220642,0.33741816878318787,0.01380293257534504,2.100001811981201,0.004000870976597071,0.33000001311302185,0.007418155670166016,-3.048841953277588,-0.5848342180252075,1.0003738403320312,0.029609039425849915,2.1000003814697266,0.01841053180396557,1.0,0.00037384033203125,-2.4852712154388428,-0.6930873990058899,4.326595899328822e-06,0.0,4.326595899328822e-06,3.3892916690092534e-05,3.3892916690092534e-05,0.09780419617891312,1.0,2.0,-18.01988410949707,1784743810.1471431,3.912400484085083,,7.1688425151529955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9781998097896576,0.0,0.0,0.0,0.5,0.5,0.5,,False,1.7276759147644043
