window,position_pred_mean_0,position_pred_scale_0,position_pred_implied_var_0,position_actual_0,position_pred_mean_1,position_pred_scale_1,position_pred_implied_var_1,position_actual_1,position_pred_dof,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_scale_0,velocity_pred_implied_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_scale_1,velocity_pred_implied_var_1,velocity_actual_1,velocity_pred_dof,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_scale,steering_pred_dof,steering_pred_implied_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_scale,acceleration_pred_dof,acceleration_pred_implied_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_scale,traffic_light_color_pred_dof,traffic_light_color_pred_implied_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_scale,traffic_light_confidence_pred_dof,traffic_light_confidence_pred_implied_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.001128732692450285,0.0006015112157911062,4.765246558235958e-06,0.0002597021230030805,0.0007289443165063858,0.0007206103764474392,6.8390991145861335e-06,0.00017081218538805842,2.1643335819244385,0.0010328241623938084,-11.13406753540039,-0.37860143184661865,0.03133396804332733,0.014078156091272831,0.0006920481682755053,0.025748172774910927,0.48095402121543884,0.00835456233471632,0.00024372056941501796,0.49006006121635437,2.8026444911956787,0.010682745836675167,-6.259337902069092,-0.8817642331123352,0.439322829246521,0.013979588635265827,5.822271347045898,0.0002976869000121951,0.4371364414691925,0.002186387777328491,-3.2941832542419434,-0.6839745044708252,0.8659882545471191,0.0460699237883091,7.277842044830322,0.002926720306277275,0.8544391393661499,0.011549115180969238,-2.088825225830078,-0.6695807576179504,0.33661988377571106,0.00917167030274868,2.0999999046325684,0.0017665118211880326,0.33000001311302185,0.006619870662689209,-3.3138656616210938,-0.4977881908416748,1.003434658050537,0.022215068340301514,2.0999999046325684,0.010363704524934292,1.0,0.0034346580505371094,-2.7551538944244385,-0.6841831803321838,3.213726813555695e-06,0.0,3.213726813555695e-06,2.6454365070094354e-05,2.6454365070094354e-05,0.09781165421009064,1.0,2.0,-17.78862953186035,1785289932.7523823,7.000728607177734,-34.48338508605957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09781165421009064,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
1,0.0010534231550991535,0.0006082732579670846,4.832817921851529e-06,0.00029201689176261425,0.000739729031920433,0.0007257484248839319,6.879790817038156e-06,0.00019175173656549305,2.1658127307891846,0.0009380930569022894,-11.339755058288574,-0.5849263668060303,0.033564016222953796,0.014162780717015266,0.0007023569196462631,0.028430240228772163,0.47935521602630615,0.008530357852578163,0.00025479760370217264,0.488492488861084,2.7995030879974365,0.010480716824531555,-6.26848030090332,-0.9067624807357788,0.4374302923679352,0.013788177631795406,5.787831783294678,0.00029049519798718393,0.43499675393104553,0.0024335384368896484,-3.3038015365600586,-0.6814658045768738,0.8784836530685425,0.044398222118616104,7.460291862487793,0.0026932156179100275,0.8805723190307617,0.0020886659622192383,-2.160949945449829,-0.6923172473907471,0.3365720510482788,0.008972514420747757,2.0999999046325684,0.001690627890639007,0.33000001311302185,0.006572037935256958,-3.326652765274048,-0.49195870757102966,1.0035549402236938,0.022087667137384415,2.0999999046325684,0.01024517510086298,1.0,0.0035549402236938477,-2.759446382522583,-0.6834332346916199,3.6603291846404318e-06,0.0,3.6603291846404318e-06,2.9484150218195282e-05,2.9484150218195282e-05,0.09780862927436829,1.0,2.0,-18.006441116333008,1785289932.8569052,7.1052515506744385,-34.378862142562866,1.74261058702767,1.2998726488626169,1.1911274316061435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19562028348445892,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
2,0.0009656380861997604,0.0006122223567217588,4.866421022597933e-06,0.0002543925656937063,0.0007537677884101868,0.000725670310202986,6.837070031906478e-06,0.0001666844473220408,2.166896343231201,0.0009222456719726324,-11.380388259887695,-0.6347323656082153,0.0357452929019928,0.014071120880544186,0.0006923616747371852,0.03030654788017273,0.4775897264480591,0.008595305494964123,0.0002583439345471561,0.48650768399238586,2.8010127544403076,0.010445568710565567,-6.290321350097656,-0.9265886545181274,0.4355497360229492,0.013645348139107227,5.742488861083984,0.00028569911955855787,0.42662307620048523,0.00892665982246399,-3.089771270751953,-0.5326601266860962,0.8900803923606873,0.042806897312402725,7.662735939025879,0.0024796195793896914,0.8929035663604736,0.002823173999786377,-2.197125196456909,-0.691516101360321,0.3362310528755188,0.008667152374982834,2.0999999046325684,0.0015775116626173258,0.33000001311302185,0.006231039762496948,-3.372873306274414,-0.49932679533958435,1.0035399198532104,0.021815385669469833,2.0999999046325684,0.00999414175748825,1.0,0.0035399198532104492,-2.7715394496917725,-0.683273196220398,4.022215762233827e-06,0.0,4.022215762233827e-06,3.1894000130705535e-05,3.1894000130705535e-05,0.09780625253915787,1.0,2.0,-17.957530975341797,1785289932.9412434,7.189589738845825,-34.29452395439148,3.436311033064129,2.6459658387256,2.3943479303814765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2934265360236168,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
3,0.0008406243287026882,0.0006140271434560418,4.88627210870618e-06,0.0003322372504044324,0.0007740110158920288,0.0007212391356006265,6.741570359736215e-06,0.00021738153009209782,2.1672251224517822,0.0007538526551797986,-11.748468399047852,-0.9058681726455688,0.03807966411113739,0.013706538826227188,0.0006535495049320161,0.03273353353142738,0.47526127099990845,0.008464274927973747,0.0002492311759851873,0.4844239056110382,2.806859254837036,0.01060825027525425,-6.2845611572265625,-0.889811635017395,0.43319272994995117,0.013600487262010574,5.690258026123047,0.00028522274806164205,0.4249365031719208,0.008256226778030396,-3.1250829696655273,-0.5549543499946594,0.9009840488433838,0.04148047789931297,7.887537956237793,0.002305129077285528,0.8923493027687073,0.008634746074676514,-2.2076356410980225,-0.6768975853919983,0.3359110951423645,0.008339762687683105,2.0999999046325684,0.0014605858596041799,0.33000001311302185,0.005911082029342651,-3.4199798107147217,-0.5047571659088135,1.003749132156372,0.021484997123479843,2.0999999046325684,0.009693716652691364,1.0,0.0037491321563720703,-2.783799886703491,-0.6817283630371094,4.39097993876203e-06,0.0,4.39097993876203e-06,3.431267032283358e-05,3.431267032283358e-05,0.0978037640452385,1.0,2.0,-18.338659286499023,1785289933.0544462,7.302792549133301,-34.181321144104004,5.511139790257815,4.039165533028891,3.6098288661685283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3912303000688553,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
4,0.0006423215381801128,0.0006188391125760972,4.96160964758019e-06,0.00036098319105803967,0.0007916893810033798,0.0007233642390929163,6.779242994525703e-06,0.00023587976465933025,2.1672816276550293,0.0006229570717550814,-12.031707763671875,-1.0873929262161255,0.040450289845466614,0.0134129012003541,0.0006176158203743398,0.03530951216816902,0.47355520725250244,0.008342549204826355,0.00023892990429885685,0.4833458960056305,2.8220326900482178,0.0110582634806633,-6.229613304138184,-0.814720094203949,0.43244510889053345,0.013489319942891598,5.602273464202881,0.00028298780671320856,0.422627329826355,0.009817779064178467,-3.0442733764648438,-0.4945021867752075,0.9114705324172974,0.04011771082878113,8.08859634399414,0.0021381014958024025,0.8851157426834106,0.02635478973388672,-2.0299551486968994,-0.5313100814819336,0.33584341406822205,0.0081647839397192,2.0999999046325684,0.0013999389484524727,0.33000001311302185,0.005843400955200195,-3.4353408813476562,-0.5010710954666138,1.003718614578247,0.02141360007226467,2.0999999046325684,0.009629395790398121,1.0,0.0037186145782470703,-2.787342071533203,-0.6818384528160095,4.7191961130010895e-06,0.0,4.7191961130010895e-06,3.643699164967984e-05,3.643699164967984e-05,0.09780171513557434,1.0,2.0,-18.537534713745117,1785289933.1599164,7.408262729644775,-34.07585096359253,7.784843974697594,5.447726297965116,4.828851986785292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4890320152044296,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
5,0.00038608815521001816,0.0006271034944802523,5.0975904741790146e-06,0.0004221599374432117,0.0008094850927591324,0.0007301024161279202,6.909619060024852e-06,0.000274847901891917,2.1671900749206543,0.0005358526832424104,-12.182403564453125,-1.1839674711227417,0.042893484234809875,0.013150067068636417,0.0005801260122098029,0.03837485983967781,0.4724155068397522,0.008227700367569923,0.00022710322809871286,0.48149508237838745,2.849329710006714,0.010141827166080475,-6.358370780944824,-0.8853433132171631,0.43333372473716736,0.013341385871171951,5.482169151306152,0.0002802234375849366,0.4217458665370941,0.011587858200073242,-2.934713840484619,-0.4102453887462616,0.9221820831298828,0.03864964470267296,8.295089721679688,0.0019683856517076492,0.878436803817749,0.04374527931213379,-1.6367672681808472,-0.21274757385253906,0.33589184284210205,0.00813031755387783,2.0999999046325684,0.0013881444465368986,0.33000001311302185,0.0058918297290802,-3.43190598487854,-0.4962150454521179,1.0032031536102295,0.021600719541311264,2.0999999046325684,0.009798421524465084,1.0,0.003203153610229492,-2.7845957279205322,-0.6849010586738586,5.004167178412899e-06,0.0,5.004167178412899e-06,3.826150350505486e-05,3.826150350505486e-05,0.0977998748421669,1.0,2.0,-18.73645782470703,1785289933.2431955,7.491541862487793,-33.99257183074951,10.257471270099288,6.852852166432225,6.045128763789385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5868318900465965,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
6,0.00021510431542992592,0.0006374067161232233,5.262815193418646e-06,0.0003451215161476284,0.0008060839027166367,0.0007394244312308729,7.082269348757109e-06,0.00022414082195609808,2.16731595993042,0.0005962903960607946,-12.077751159667969,-1.1384154558181763,0.04516081511974335,0.012997239828109741,0.00055102095939219,0.04052646830677986,0.4719991683959961,0.008152035996317863,0.00021676946198567748,0.4804379343986511,2.8842263221740723,0.009627562016248703,-6.44701623916626,-0.9367741346359253,0.43534618616104126,0.013154326938092709,5.351771354675293,0.00027628696989268064,0.4217498302459717,0.01359635591506958,-2.7875800132751465,-0.29252126812934875,0.9308956861495972,0.03757449984550476,8.457677841186523,0.0018491032533347607,0.9097594022750854,0.02113628387451172,-2.1593103408813477,-0.5744878053665161,0.3359716534614563,0.00817657820880413,2.0999999046325684,0.001403986243531108,0.33000001311302185,0.005971640348434448,-3.4213764667510986,-0.4931263029575348,1.0028002262115479,0.021920466795563698,2.0999999046325684,0.010090653784573078,1.0,0.0028002262115478516,-2.7740495204925537,-0.687027633190155,5.41947929377784e-06,0.0,5.41947929377784e-06,4.088986315764487e-05,4.088986315764487e-05,0.09779728204011917,1.0,2.0,-18.629154205322266,1785289933.348327,7.596673250198364,-33.88744044303894,12.622794946116215,8.247448516771893,7.250859333365499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6846291720867157,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
7,9.159231558442116e-05,0.0006482279277406633,5.430075361800846e-06,0.000439532013842836,0.0007817540317773819,0.0007509529823437333,7.2874545367085375e-06,0.0002848510630428791,2.16774845123291,0.0006066090427339077,-11.984663963317871,-1.1140637397766113,0.04722203314304352,0.012955797836184502,0.0005308326217345893,0.043585602194070816,0.4720626771450043,0.008152690716087818,0.00021019925770815462,0.4794469475746155,2.9248595237731934,0.008231104351580143,-6.612417697906494,-1.0491101741790771,0.4378416836261749,0.012956169433891773,5.224284648895264,0.0002719860931392759,0.4226859509944916,0.01515573263168335,-2.6556732654571533,-0.18001186847686768,0.9384653568267822,0.03667186573147774,8.60072135925293,0.001752304146066308,0.9164172410964966,0.022048115730285645,-2.16017746925354,-0.5575944781303406,0.3360063433647156,0.008265785872936249,2.0999999046325684,0.0014347888063639402,0.33000001311302185,0.006006330251693726,-3.413689136505127,-0.4951397776603699,1.002601146697998,0.022245893254876137,2.0999999046325684,0.010392485186457634,1.0,0.002601146697998047,-2.7612526416778564,-0.6880202293395996,5.9618100749503355e-06,0.0,5.9618100749503355e-06,4.427224848768674e-05,4.427224848768674e-05,0.0977938175201416,1.0,2.0,-18.602434158325195,1785289933.4538922,7.7022385597229,-33.781875133514404,14.961398575136073,9.63435753686559,8.443793024126915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7824229896068573,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
8,-6.1695463955402374e-06,0.0006599877378903329,5.606597824225901e-06,0.00038806171505711973,0.0007427018135786057,0.0007637910894118249,7.508909220632631e-06,0.00025052891578525305,2.168471336364746,0.0006305968854576349,-11.919954299926758,-1.0967823266983032,0.049372538924217224,0.012936821207404137,0.0005107890465296805,0.04587705060839653,0.4719860851764679,0.008181732147932053,0.00020430402946658432,0.4786267876625061,2.9746525287628174,0.007504489738494158,-6.704648971557617,-1.111876130104065,0.44043034315109253,0.012776931747794151,5.0981292724609375,0.0002686361549422145,0.42385491728782654,0.01657542586326599,-2.522646427154541,-0.06203359365463257,0.9460157155990601,0.035739779472351074,8.748575210571289,0.0016558803617954254,0.9314771890640259,0.01453852653503418,-2.2927029132843018,-0.6310933828353882,0.3359558880329132,0.008369672112166882,2.0999999046325684,0.0014710810501128435,0.33000001311302185,0.005955874919891357,-3.4140169620513916,-0.5032557249069214,1.0024887323379517,0.022529540583491325,2.0999999046325684,0.010659193620085716,1.0,0.00248873233795166,-2.7496607303619385,-0.6885712146759033,6.821711394877639e-06,0.0,6.821711394877639e-06,4.953272218699567e-05,4.953272218699567e-05,0.09778863191604614,1.0,2.0,-18.544998168945312,1785289933.5483985,7.7967448234558105,-33.687368869781494,17.242566214776048,11.021594382505551,9.625134803572415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8802116215229034,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
9,-0.00011178432032465935,0.0006749001913703978,5.824294021294918e-06,0.0005109343328513205,0.0006877332925796509,0.0007814281852915883,7.808045666024555e-06,0.00032886568806134164,2.16968035697937,0.0007187241571955383,-11.722152709960938,-0.9879506826400757,0.05189187824726105,0.01297765877097845,0.0004910171264782548,0.04860170558094978,0.47175049781799316,0.00828643050044775,0.00020018838404212147,0.47834116220474243,3.044147253036499,0.007366280537098646,-6.714160919189453,-1.124969244003296,0.4433472156524658,0.012590947560966015,4.9608473777771,0.0002656174765434116,0.42479264736175537,0.01855456829071045,-2.323634147644043,0.12121236324310303,0.9542121887207031,0.034649308770895004,8.919471740722656,0.0015475880354642868,0.9386587142944336,0.015553474426269531,-2.304772138595581,-0.6175863146781921,0.3357856273651123,0.008499301970005035,2.0999999046325684,0.0015170022379606962,0.33000001311302185,0.005785614252090454,-3.424434185028076,-0.5193816423416138,1.002408504486084,0.022802185267210007,2.0999999046325684,0.010918742045760155,1.0,0.0024085044860839844,-2.738399028778076,-0.6889633536338806,7.996933163667563e-06,0.0,7.996933163667563e-06,5.654768756357953e-05,5.654768756357953e-05,0.09778160601854324,1.0,2.0,-18.255298614501953,1785289933.6434991,7.891845464706421,-33.592268228530884,19.234034299972663,12.419248451122197,10.795214881434053,0.0,0.0,0.0,0.12121236324310303,0.0,0.0,0.0,0.9779932275414467,0.0,0.0,0.0,0.5,0.5,0.5,,False,0.8077116012573242
