window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,traffic_light_state_pred_mean,traffic_light_state_pred_var,traffic_light_state_actual,traffic_light_state_residual,traffic_light_state_nll,traffic_light_detected_pred,traffic_light_detected_actual,traffic_light_detected_residual,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_state,cusum_tl_discrepancy,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,0.00037740234984084964,4.139982365813921e-07,0.00021091267990414053,0.00046554231084883213,4.635157893062569e-07,0.0001384553761454299,0.0003670213627628982,-12.654153823852539,0.025717884302139282,0.0008930893964134157,0.021149037405848503,0.470868319272995,0.0004005592782050371,0.48532673716545105,0.0151631198823452,-5.311230659484863,0.44146448373794556,0.00407419353723526,0.38888826966285706,0.0525762140750885,-1.4933626651763916,0.7348922491073608,0.013529026880860329,0.8013213872909546,0.06642913818359375,-1.0694329738616943,0.8788141012191772,0.03902474790811539,1.0,0.12118589878082275,-0.5146782398223877,0.013103369623422623,0.0,0.013103369623422623,2.8902286430820823e-05,0.0,2.8902286430820823e-05,1.0,1.0,-17.64982032775879,1785286718.533631,8.603373289108276,-42.08825635910034,0.0,0.0,0.0,,False,84.21037435531616
1,0.00038957042852416635,4.3315478137628816e-07,0.0002478808455634862,0.00046480027958750725,4.830470743399928e-07,0.00016241284902207553,0.00033393726334907115,-12.641962051391602,0.024717658758163452,0.0009188417461700737,0.023209625855088234,0.4718437194824219,0.00041911430889740586,0.48204123973846436,0.010308423079550266,-5.421708583831787,0.44416913390159607,0.004111850168555975,0.37625083327293396,0.06791830062866211,-1.267075538635254,0.7500501871109009,0.012947267852723598,0.8015847206115723,0.05153453350067139,-1.1519341468811035,0.8417070508003235,0.04157598316669464,1.0,0.1582929491996765,-0.3698420226573944,0.020081263035535812,0.0,0.020081263035535812,4.5657499867957085e-05,0.0,4.5657499867957085e-05,1.0,1.0,-17.612865447998047,1785286718.6416826,8.711424827575684,-41.980204820632935,0.632962924402058,0.7960596119920336,0.0,,False,84.21037435531616
2,0.0004154524067416787,4.669433337767259e-07,0.000265913171460852,0.00044541992247104645,5.045680495641136e-07,0.00017374612798448652,0.0003101106558460742,-12.603349685668945,0.02516111731529236,0.0009420791175216436,0.02563469111919403,0.4712565541267395,0.0004646080487873405,0.4783889651298523,0.007148115895688534,-5.428126335144043,0.444166362285614,0.004331969190388918,0.3693273663520813,0.07483899593353271,-1.1554696559906006,0.7654924988746643,0.012478243559598923,0.8076856732368469,0.04219317436218262,-1.201611042022705,0.7820512652397156,0.04815193638205528,0.9970703125,0.21501904726028442,-0.11768227815628052,0.038613807410001755,0.0,0.038613807410001755,0.00011275650467723608,0.0,0.00011275650467723608,1.0,1.0,-17.523584365844727,1785286718.7458394,8.815581560134888,-41.87604808807373,1.3552069309574364,1.3399594794829532,0.0,,False,84.21037435531616
3,0.0004279667045921087,4.581163750572159e-07,0.00023064766719471663,0.0004385039210319519,4.894112635156489e-07,0.00015017553232610226,0.0003493824042379856,-12.597799301147461,0.02559313178062439,0.0009322086116299033,0.02736157365143299,0.4708438515663147,0.0004599460808094591,0.47652968764305115,0.0059545040130615234,-5.456479072570801,0.4437372386455536,0.004111905116587877,0.3614882528781891,0.0822489857673645,-1.0053972005844116,0.7739155888557434,0.011965928599238396,0.8099086284637451,0.03599303960800171,-1.2397747039794922,0.7598645091056824,0.051066599786281586,1.0,0.24013549089431763,-0.0037674307823181152,0.04902390390634537,0.0,0.04902390390634537,0.00015385214646812528,0.0,0.00015385214646812528,1.0,1.0,-17.465681076049805,1785286718.8307598,8.90050196647644,-41.79112768173218,2.1353542273077366,1.7699444995999105,0.0,,False,84.21037435531616
4,0.0004380833706818521,4.434235165717837e-07,0.0003010872460436076,0.00043619517236948013,4.7196294872264843e-07,0.00019493432773742825,0.00027744320686906576,-12.676848411560059,0.02617400884628296,0.0009219624334946275,0.02941977046430111,0.4709031283855438,0.00044323017937131226,0.47261422872543335,0.0036691732238978148,-5.508320331573486,0.4437779486179352,0.003776349825784564,0.35391223430633545,0.08986571431159973,-0.8012940883636475,0.7786768674850464,0.011639801785349846,0.8107616901397705,0.03208482265472412,-1.2635033130645752,0.7427176237106323,0.05339016765356064,1.0,0.2572823762893677,0.0737844705581665,0.05491359159350395,0.0,0.05491359159350395,0.00018454017117619514,0.0,0.00018454017117619514,1.0,1.0,-17.484149932861328,1785286718.938021,9.007763147354126,-41.68386650085449,2.8970326668465134,2.122377618376383,0.0,,False,84.21037435531616
5,0.0004432064015418291,4.2022253410323174e-07,0.00033546474878676236,0.000434056855738163,4.479403798995918e-07,0.00021665205713361502,0.0002426378196105361,-12.74609661102295,0.026801228523254395,0.0009030311484821141,0.03182012215256691,0.47114837169647217,0.00041885607060976326,0.4698522686958313,0.005183548666536808,-5.5400390625,0.4441714584827423,0.00337852886877954,0.35057759284973145,0.09359386563301086,-0.6298245191574097,0.7836955189704895,0.011260606348514557,0.8171494007110596,0.03345388174057007,-1.274590253829956,0.7295874953269958,0.054586611688137054,1.0,0.27041250467300415,0.134743332862854,0.05650855228304863,0.0,0.05650855228304863,0.00019993663590867072,0.0,0.00019993663590867072,1.0,1.0,-17.493040084838867,1785286719.04214,9.111882209777832,-41.579747438430786,3.649820954407751,2.4138518748481683,0.0,,False,84.21037435531616
6,0.00044757063733413815,3.963549772834085e-07,0.0003406840260140598,0.0004310517106205225,4.2371289055154193e-07,0.00021917525737080723,0.0002373107272433117,-12.802318572998047,0.027530163526535034,0.0008831563754938543,0.03421078994870186,0.4716115891933441,0.0003927063662558794,0.46772757172584534,0.007727636024355888,-5.55487585067749,0.445112407207489,0.002974351402372122,0.34904927015304565,0.09606313705444336,-0.4386425018310547,0.7893316745758057,0.01085057482123375,0.8219552040100098,0.0326235294342041,-1.2937867641448975,0.7153141498565674,0.055436115711927414,1.0,0.2846858501434326,0.20366233587265015,0.056737061589956284,0.0,0.056737061589956284,0.00021488610946107656,0.0,0.00021488610946107656,1.0,1.0,-17.46554183959961,1785286719.1462605,9.216002702713013,-41.475626945495605,4.430107487208247,2.6364071283101573,0.0,,False,84.21037435531616
7,0.0004518359201028943,3.738101668204763e-07,0.00033147618523798883,0.00042727752588689327,4.0098115050568595e-07,0.00021229032427072525,0.00024638581089675426,-12.849547386169434,0.028269201517105103,0.0008644482004456222,0.03557336702942848,0.47229623794555664,0.0003666190605144948,0.4662233591079712,0.00949898362159729,-5.563270568847656,0.4465908706188202,0.0025933217257261276,0.3480622172355652,0.098528653383255,-0.18675875663757324,0.7948849201202393,0.010443517006933689,0.8220730423927307,0.027188122272491455,-1.326558232307434,0.7004003524780273,0.05636189505457878,1.0,0.29959964752197266,0.27723968029022217,0.05616173520684242,0.0,0.05616173520684242,0.0002310081326868385,0.0,0.0002310081326868385,1.0,1.0,-17.393543243408203,1785286719.2410243,9.310766458511353,-41.380863189697266,5.282392616200148,2.7853850373545743,0.0,,False,84.21037435531616
8,0.0004574796184897423,3.530817878072412e-07,0.00040119135519489646,0.0004230635240674019,3.797716772169224e-07,0.0002555037790443748,0.00017676153220236301,-12.940801620483398,0.02908417582511902,0.0008471389301121235,0.037954188883304596,0.4732097387313843,0.0003419133136048913,0.46301600337028503,0.01351256389170885,-5.491028785705566,0.4485444128513336,0.0022536213509738445,0.3457912802696228,0.10275313258171082,0.21382808685302734,0.7994747757911682,0.010075945407152176,0.8254098296165466,0.025935053825378418,-1.3464857339859009,0.6860086917877197,0.057719822973012924,1.0,0.3139913082122803,0.3469052314758301,0.05478353425860405,0.0,0.05478353425860405,0.00024769484298303723,0.0,0.00024769484298303723,1.0,1.0,-17.22671127319336,1785286719.3475785,9.417320728302002,-41.274308919906616,6.301509715406894,2.8646973952133834,0.0,,False,84.21037435531616
9,0.00046436680713668466,3.330374056531582e-07,0.00035103136906400323,0.0004189661704003811,3.587178980524186e-07,0.00022219841775950044,0.00022707371681462973,-12.966741561889648,0.029998302459716797,0.0008290318655781448,0.03965134546160698,0.47420167922973633,0.00031920213950797915,0.46126052737236023,0.016144802793860435,-5.416061878204346,0.4508025646209717,0.0019588118884712458,0.34499391913414,0.10580864548683167,0.6589493751525879,0.8036928176879883,0.009712658822536469,0.8257888555526733,0.02209603786468506,-1.3730900287628174,0.672187089920044,0.05922935903072357,1.0,0.32781291007995605,0.41293197870254517,0.05298161134123802,0.0,0.05298161134123802,0.0002645814383868128,0.0,0.0002645814383868128,1.0,1.0,-16.970115661621094,1785286719.4319153,9.501657485961914,-41.189972162246704,7.577222426185905,2.8779830058454774,0.0,,False,84.21037435531616
