window,position_pred_mean_0,position_pred_scale_0,position_pred_implied_var_0,position_actual_0,position_pred_mean_1,position_pred_scale_1,position_pred_implied_var_1,position_actual_1,position_pred_dof,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_scale_0,velocity_pred_implied_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_scale_1,velocity_pred_implied_var_1,velocity_actual_1,velocity_pred_dof,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_scale,steering_pred_dof,steering_pred_implied_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_scale,acceleration_pred_dof,acceleration_pred_implied_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_scale,traffic_light_color_pred_dof,traffic_light_color_pred_implied_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_scale,traffic_light_confidence_pred_dof,traffic_light_confidence_pred_implied_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,-0.001764544751495123,0.0005717023741453886,5.341572432371322e-06,1.7067760609279503e-06,-0.0001239348202943802,0.0008352793520316482,1.1402304153307341e-05,9.693965239421232e-07,2.1303534507751465,0.0017706623766571283,-9.810196876525879,2.2013769149780273,0.0004971474409103394,0.017536137253046036,0.0009046075283549726,0.0,0.49989306926727295,0.005070040468126535,7.561626262031496e-05,0.5000234842300415,3.0300469398498535,0.0005139685235917568,-7.326721668243408,-1.3857448101043701,0.49963250756263733,0.017808029428124428,5.156918525695801,0.0005180343869142234,0.5022969841957092,0.0026644766330718994,-3.047645330429077,-0.6847521066665649,-0.0686458945274353,0.24496111273765564,3.4208462238311768,0.14447103440761566,0.0,0.0686458945274353,-0.3654201626777649,-0.6636984944343567,1.0361521244049072,0.12487402558326721,2.1675236225128174,0.20175857841968536,0.0,1.0361521244049072,4.476712703704834,25.125532150268555,0.9840476512908936,0.03517887368798256,2.1000001430511475,0.025988582521677017,0.0,0.9840476512908936,6.867938041687012,292.7336120605469,2.4901697543100454e-05,0.0,2.4901697543100454e-05,0.00014570353960152715,0.00014570353960152715,0.09769241511821747,1.0,1.0,-17.195396423339844,1785287216.6366882,3.0003762245178223,456.01480078697205,0.0,0.0,0.0,0.0,2.2013769149780273,0.0,0.0,0.0,25.125532150268555,292.7336120605469,0.09769241511821747,0.0,317.95683662593365,317.4240181297064,0.5,1.0,1.0,,False,15.503375768661499
1,-0.001742484513670206,0.0005728968535549939,5.36368634129758e-06,-4.266686914888851e-07,-0.00011150911450386047,0.0008353347657248378,1.1403328244341537e-05,-5.517221097761649e-07,2.130359411239624,0.0017455879133194685,-9.851995468139648,2.087718963623047,0.00073203444480896,0.01754184067249298,0.0009049708605743945,0.0,0.49988803267478943,0.005109192803502083,7.676952373003587e-05,0.49999815225601196,3.03043532371521,0.0007402707706205547,-7.31823205947876,-1.3854671716690063,0.499421626329422,0.01785050705075264,5.173316955566406,0.0005194655386731029,0.5023064017295837,0.002884775400161743,-3.0432052612304688,-0.6833533048629761,-0.0679323673248291,0.24651679396629333,3.466038703918457,0.14367492496967316,0.0,0.0679323673248291,-0.36178138852119446,-0.6646703481674194,1.0356638431549072,0.12675872445106506,2.174468994140625,0.20025838911533356,0.0,1.0356638431549072,4.451023578643799,24.33987045288086,0.9843724966049194,0.0351313054561615,2.1000001430511475,0.025918344035744667,0.0,0.9843724966049194,6.87178897857666,293.7229919433594,2.386125925113447e-05,0.0,2.386125925113447e-05,0.000140613061375916,0.000140613061375916,0.09769749641418457,1.0,1.0,-17.22818374633789,1785287216.740792,3.104480028152466,456.1189045906067,0.0,4.950015603222568,7.900791255557618,0.0,4.289095878601074,0.0,0.0,0.0,49.465402603149414,586.4566040039062,0.19538991153240204,0.0,636.1173965185881,634.9388061612844,0.5,1.0,1.0,,False,15.503375768661499
2,-0.0017518694512546062,0.0005710094119422138,5.327725375536829e-06,-2.8777687930414686e-06,-0.00010381080210208893,0.0008325967937707901,1.132725810748525e-05,-1.9305730347696226e-06,2.1303770542144775,0.001751956413500011,-9.841997146606445,2.1375174522399902,0.0012400299310684204,0.017412936314940453,0.0008910908363759518,1.0665993386282935e-06,0.4999191462993622,0.0051218001171946526,7.70944679970853e-05,0.49992114305496216,3.0315372943878174,0.0012389649637043476,-7.3213043212890625,-1.3843958377838135,0.499051570892334,0.017873039469122887,5.180386066436768,0.0005203303298912942,0.4895244538784027,0.009527117013931274,-2.8925445079803467,-0.5865961909294128,-0.05730783939361572,0.248153418302536,3.524101734161377,0.14238852262496948,0.0,0.05730783939361572,-0.37072935700416565,-0.6731476783752441,1.0343084335327148,0.1276237517595291,2.180203437805176,0.19705931842327118,0.0,1.0343084335327148,4.4384284019470215,23.937074661254883,0.9843627214431763,0.0351862795650959,2.1000001430511475,0.02599952556192875,0.0,0.9843627214431763,6.8684868812561035,292.79791259765625,2.1996031136950478e-05,0.0,2.1996031136950478e-05,0.00013139276416040957,0.00013139276416040957,0.09770679473876953,1.0,1.0,-17.145313262939453,1785287216.8465412,3.2102291584014893,456.2246537208557,0.0,9.88743602974836,15.798280413794679,0.0,6.4266133308410645,0.0,0.0,0.0,73.4024772644043,879.2545166015625,0.29309670627117157,0.0,952.950090572238,951.2648779600859,0.5,1.0,1.0,,False,15.503375768661499
3,-0.0017304657958447933,0.0005703943315893412,5.314429472491611e-06,-2.4190230760723352e-06,-0.00010151229798793793,0.0008304244838654995,1.1264359272900037e-05,-1.384811184834689e-06,2.130424737930298,0.0017309451941400766,-9.87392520904541,2.061006546020508,0.0019760727882385254,0.01732567325234413,0.0008840187219902873,0.0,0.5000791549682617,0.005244088359177113,8.098810212686658e-05,0.5000420808792114,3.028292179107666,0.0019764206372201443,-7.29725980758667,-1.3813974857330322,0.49780187010765076,0.018216123804450035,5.210949897766113,0.0005385119002312422,0.4996478855609894,0.001846015453338623,-3.0327024459838867,-0.6892960071563721,-0.042965471744537354,0.2488161325454712,3.590801477432251,0.13974377512931824,0.0,0.042965471744537354,-0.3843282163143158,-0.6819653511047363,1.0318455696105957,0.12811525166034698,2.189915657043457,0.18926411867141724,0.6700000166893005,0.36184555292129517,1.4236856698989868,2.2982640266418457,0.9839138984680176,0.035553451627492905,2.1000001430511475,0.026544969528913498,0.44091796875,0.5429959297180176,5.012258529663086,86.77720642089844,1.9714281734195538e-05,0.0,1.9714281734195538e-05,0.00011993320367764682,0.00011993320367764682,0.0977182537317276,1.0,1.0,-17.228084564208984,1785287216.94988,3.313567876815796,456.32799243927,0.0,11.810113724226117,21.839541220438722,0.0,8.487619876861572,0.0,0.0,0.0,75.70074129104614,966.0317230224609,0.39081496000289917,0.0,1042.12327927351,1039.7464143633842,0.5,1.0,1.0,,False,15.503375768661499
4,-0.0017959498800337315,0.0005663766642101109,5.228066129348008e-06,4.39852300360144e-07,-7.269904017448425e-05,0.0008276458829641342,1.1163991985085886e-05,3.1570090186505695e-07,2.1307373046875,0.0017978729447349906,-9.771739959716797,2.3890585899353027,0.0011947304010391235,0.01740017533302307,0.0008934453362599015,0.0,0.49999409914016724,0.005175208672881126,7.903446385171264e-05,0.49998292326927185,3.0251455307006836,0.0011947826715186238,-7.311555862426758,-1.3845247030258179,0.4989112913608551,0.01782931759953499,5.179695129394531,0.0005178311839699745,0.5030078887939453,0.00409659743309021,-3.0286619663238525,-0.6733497977256775,-0.049533307552337646,0.2480102926492691,3.4972496032714844,0.1436719000339508,0.0,0.049533307552337646,-0.37925487756729126,-0.6781887412071228,1.0359140634536743,0.12511678040027618,2.1807053089141846,0.18891097605228424,0.0,1.0359140634536743,4.484968185424805,25.013628005981445,0.9827215671539307,0.03569523245096207,2.1000003814697266,0.026757044717669487,0.0,0.9827215671539307,6.833292007446289,283.5381164550781,2.1265568648232147e-05,0.0,2.1265568648232147e-05,0.0001277467526961118,0.0001277467526961118,0.09771036356687546,1.0,1.0,-17.135316848754883,1785287217.041387,3.4050750732421875,456.4194996356964,0.0,16.79407393422969,29.70183550486597,0.0,10.876678466796875,0.0,0.0,0.0,100.71436929702759,1249.569839477539,0.4885253235697746,0.0,1350.7727340981364,1348.0488645359874,0.5,1.0,1.0,,False,15.503375768661499
5,-0.0017867055721580982,0.0005688562523573637,5.280759523884626e-06,1.975032546397415e-07,-9.966827929019928e-05,0.0008315639570355415,1.1284507309028413e-05,1.1382406484017338e-07,2.1305575370788574,0.001789686968550086,-9.782764434814453,2.3193306922912598,0.0015834122896194458,0.01739775575697422,0.0008906740113161504,4.125943178223679e-07,0.5000351667404175,0.005193933844566345,7.938256749184802e-05,0.499971866607666,3.0295441150665283,0.0015842647990211844,-7.305852890014648,-1.3831340074539185,0.4983423054218292,0.017893150448799133,5.18646240234375,0.0005211179959587753,0.4885033369064331,0.009838968515396118,-2.881214141845703,-0.5797618627548218,-0.043531835079193115,0.24822065234184265,3.5526299476623535,0.14098010957241058,0.0,0.043531835079193115,-0.3853622376918793,-0.6816134452819824,1.0342254638671875,0.12797261774539948,2.187593936920166,0.19097742438316345,0.6700000166893005,0.36422544717788696,1.4414451122283936,2.3445029258728027,0.9829510450363159,0.03587726503610611,2.1000003814697266,0.027030643075704575,0.431640625,0.5513104200363159,5.040159225463867,87.85612487792969,2.2031508706277236e-05,0.0,2.2031508706277236e-05,0.00013156927889212966,0.00013156927889212966,0.09770657867193222,1.0,1.0,-17.06805419921875,1785287217.1462212,3.509909152984619,456.52433371543884,0.0,18.734511071036852,35.77099700731079,0.0,13.196009159088135,0.0,0.0,0.0,103.05887222290039,1337.4259643554688,0.5862319022417068,0.0,1441.0710684806108,1438.0220202952623,0.5,1.0,1.0,,False,15.503375768661499
6,-0.0017695478163659573,0.0005676189321093261,5.248896286502713e-06,2.1375977610205155e-07,-9.741820394992828e-05,0.0008298718021251261,1.1219570296816528e-05,9.000694234373441e-08,2.130793809890747,0.0017724457429721951,-9.806560516357422,2.264298439025879,0.00116024911403656,0.017536938190460205,0.0009086154750548303,0.0,0.5000856518745422,0.005267191678285599,8.196545240934938e-05,0.5000185370445251,3.023320198059082,0.0011621885932981968,-7.286133766174316,-1.384592056274414,0.49833160638809204,0.017954837530851364,5.197835922241211,0.0005239977035671473,0.4967297911643982,0.0016018152236938477,-3.04840350151062,-0.6901625394821167,-0.0468478798866272,0.24666567146778107,3.503429412841797,0.1417841762304306,0.0,0.0468478798866272,-0.38725000619888306,-0.6796204447746277,1.03603196144104,0.1268598884344101,2.1892683506011963,0.18615283071994781,0.6700000166893005,0.3660319447517395,1.4674146175384521,2.4287643432617188,0.9814062118530273,0.036329712718725204,2.1000003814697266,0.027716707438230515,0.424072265625,0.5573339462280273,5.047573089599609,87.5616455078125,2.25668463826878e-05,0.0,2.25668463826878e-05,0.00013422775373328477,0.00013422775373328477,0.09770387411117554,1.0,1.0,-17.159669876098633,1785287217.2507384,3.614426374435425,456.62885093688965,0.0,20.700917713154073,41.84757237389135,0.0,15.460307598114014,0.0,0.0,0.0,105.48763656616211,1424.9876098632812,0.6839357763528824,0.0,1531.1591822057962,1527.6200574189425,0.5,1.0,1.0,,False,15.503375768661499
7,-0.0017762514762580395,0.0005697711021639407,5.289462478685891e-06,1.4966894923418295e-06,-9.976141154766083e-05,0.0008333864388987422,1.1316276868456043e-05,1.2016123491775943e-06,2.1307756900787354,0.0017806128598749638,-9.796072959899902,2.2698655128479004,0.000899091362953186,0.01764822192490101,0.000921353348530829,6.027232188898779e-07,0.5001012682914734,0.0052621266804635525,8.191187953343615e-05,0.5000444054603577,3.021357536315918,0.0009002861916087568,-7.28188419342041,-1.385278582572937,0.49898988008499146,0.017908310517668724,5.18989372253418,0.0005217848811298609,0.5015299916267395,0.002540111541748047,-3.0436930656433105,-0.6856027245521545,-0.05255270004272461,0.2450878620147705,3.4628584384918213,0.1421922892332077,0.0,0.05255270004272461,-0.3864938020706177,-0.6759055852890015,1.0371801853179932,0.1257893145084381,2.1875362396240234,0.18456847965717316,0.6700000166893005,0.3671801686286926,1.4880322217941284,2.5020833015441895,0.9809821844100952,0.0364505834877491,2.1000003814697266,0.02790144458413124,0.358154296875,0.6228278875350952,5.3823652267456055,108.79281616210938,2.4414455765509047e-05,0.0,2.4414455765509047e-05,0.00014332408318296075,0.00014332408318296075,0.09769479185342789,1.0,1.0,-17.1434268951416,1785287217.3352592,3.6989471912384033,456.7133717536926,0.0,22.68794195952697,48.25893987761791,0.0,17.730173110961914,0.0,0.0,0.0,107.9897198677063,1533.7804260253906,0.7816305682063103,0.0,1642.5517764613032,1638.5357302948833,0.5,1.0,1.0,,False,15.503375768661499
8,-0.0017996621318161488,0.0005680011818185449,5.255635642242851e-06,3.4296108424314298e-06,-0.0001075398176908493,0.0008325953967869282,1.129262091126293e-05,2.3669219899602467e-06,2.130802631378174,0.0018064383184537292,-9.753637313842773,2.3991665840148926,0.0006000399589538574,0.01764639839529991,0.000920431106351316,1.3604261539512663e-07,0.5000744462013245,0.0051732249557971954,7.910462591098621e-05,0.499953031539917,3.022584915161133,0.0006120671750977635,-7.29975700378418,-1.3856544494628906,0.4993387460708618,0.017678117379546165,5.1536455154418945,0.0005107091856189072,0.48883506655693054,0.010503679513931274,-2.8644115924835205,-0.5607611536979675,-0.05701565742492676,0.24487747251987457,3.4160633087158203,0.14465749263763428,0.0,0.05701565742492676,-0.38106730580329895,-0.6728178858757019,1.038124442100525,0.12321832031011581,2.1766881942749023,0.18704205751419067,0.6700000166893005,0.36812442541122437,1.5246038436889648,2.6539626121520996,0.9818308353424072,0.036065198481082916,2.1000003814697266,0.027314569801092148,0.40771484375,0.5741159915924072,5.153908729553223,94.33536529541016,2.4808237867546268e-05,0.0,2.4808237867546268e-05,0.00014524772996082902,0.00014524772996082902,0.09769284725189209,1.0,1.0,-17.02564811706543,1785287217.4395993,3.8032872676849365,456.81771183013916,0.0,24.711537827794704,54.44185088415209,0.0,20.129339694976807,0.0,0.0,0.0,110.6436824798584,1628.1157913208008,0.8793234154582024,0.0,1739.6387972161174,1735.4026841446757,0.5,1.0,1.0,,False,15.503375768661499
9,-0.0017958651296794415,0.0005669394740834832,5.238246558292303e-06,2.473013182680006e-06,-0.00011591799557209015,0.000830787350423634,1.1248440387134906e-05,1.429546500730794e-06,2.1307430267333984,0.0018021627329289913,-9.75783920288086,2.3943071365356445,0.0008201748132705688,0.01756485179066658,0.0009142045164480805,7.081254693730443e-07,0.500102162361145,0.005181964486837387,7.95688756625168e-05,0.4999953806400299,3.018768310546875,0.0008263945346698165,-7.301905632019043,-1.3853188753128052,0.4985600709915161,0.017873188480734825,5.157427787780762,0.0005217996658757329,0.4969281554222107,0.00163191556930542,-3.0523600578308105,-0.6900209188461304,-0.055793046951293945,0.24440768361091614,3.412916898727417,0.14429084956645966,0.0,0.055793046951293945,-0.38425272703170776,-0.6736055016517639,1.0361006259918213,0.12282249331474304,2.178745985031128,0.18387645483016968,0.6700000166893005,0.36610060930252075,1.5158934593200684,2.6386332511901855,0.9821969270706177,0.0360155813395977,2.1000003814697266,0.027239466086030006,0.42919921875,0.5529977083206177,5.0415730476379395,87.71597290039062,2.350200156797655e-05,0.0,2.350200156797655e-05,0.00013884674990549684,0.00013884674990549684,0.09769933670759201,1.0,1.0,-17.12554359436035,1785287217.544417,3.90810489654541,456.92252945899963,0.0,26.72642331169354,60.51242620877098,0.0,22.52364683151245,0.0,0.0,0.0,113.28231573104858,1715.8317642211914,0.9770227521657944,0.0,1830.0911027044058,1825.500351473689,0.5,1.0,1.0,,False,15.503375768661499
