window,position_pred_mean_0,position_pred_var_0,position_actual_0,position_pred_mean_1,position_pred_var_1,position_actual_1,position_residual_l2,position_nll,position_llr,velocity_pred_mean_0,velocity_pred_var_0,velocity_actual_0,velocity_pred_mean_1,velocity_pred_var_1,velocity_actual_1,velocity_residual_l2,velocity_nll,velocity_llr,steering_pred_mean,steering_pred_var,steering_actual,steering_residual,steering_nll,steering_llr,acceleration_pred_mean,acceleration_pred_var,acceleration_actual,acceleration_residual,acceleration_nll,acceleration_llr,traffic_light_color_pred_mean,traffic_light_color_pred_var,traffic_light_color_actual,traffic_light_color_residual,traffic_light_color_nll,traffic_light_color_llr,traffic_light_confidence_pred_mean,traffic_light_confidence_pred_var,traffic_light_confidence_actual,traffic_light_confidence_residual,traffic_light_confidence_nll,traffic_light_confidence_llr,traffic_light_discrepancy_pred,traffic_light_discrepancy_actual,traffic_light_discrepancy_residual,traffic_light_discrepancy_calibrated_pred,traffic_light_discrepancy_calibrated_residual,traffic_light_discrepancy_llr,has_adjacent_lane_actual,n_objects_actual,combined_nll,t_sim,t_bag_rel,t_rel_fault,cusum_combined,cusum_tl_color,cusum_tl_confidence,cusum_tl_discrepancy,sprt_position,sprt_velocity,sprt_steering,sprt_acceleration,sprt_tl_color,sprt_tl_confidence,sprt_tl_discrepancy,sprt_motion_combined,sprt_tl_combined,sprt_combined,p_fault_motion,p_fault_tl,p_fault_combined,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
0,-0.00017119827680289745,1.0049494392205816e-07,-3.9323117562162224e-07,0.00029708072543144226,9.947545720478956e-08,5.927198643007614e-08,0.0003426311304792762,-13.691791534423828,-0.9448533058166504,0.007767468690872192,0.000440221163444221,3.7089091620146064e-06,0.49977394938468933,3.890190419042483e-05,0.5000758767127991,0.007769628427922726,-7.033840656280518,-1.334069848060608,0.48527994751930237,0.0002859062806237489,0.5029956102371216,0.017715662717819214,-2.6121251583099365,-0.2815026044845581,0.002736002206802368,0.024800777435302734,0.0,0.002736002206802368,-0.929350733757019,-0.6930339932441711,0.8593355417251587,0.04813754931092262,1.0,0.1406644582748413,-0.3923875689506531,-0.5390069484710693,0.9981538653373718,0.00692085362970829,1.0,0.0018461346626281738,-1.5674232244491577,-0.6929625272750854,0.0005532377399504185,0.0,0.0005532377399504185,0.0019280666019767523,0.0019280666019767523,0.09590823948383331,1.0,2.0,-20.624927520751953,1785288352.3562067,3.0061933994293213,661.9218707084656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09590823948383331,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
1,-0.0001698564738035202,1.0006910144966241e-07,1.3536623555410188e-06,0.0003043562173843384,9.905932785159166e-08,7.487514608328638e-07,0.00034855472040362656,-13.672870635986328,-0.9274988174438477,0.008428111672401428,0.00043946970254182816,0.0,0.4999609887599945,3.7997659092070535e-05,0.49991023540496826,0.008428264409303665,-7.035236358642578,-1.3256564140319824,0.4859794080257416,0.00027694072923623025,0.49334076046943665,0.007361352443695068,-3.0790786743164062,-0.6197702288627625,-0.003666996955871582,0.024769479408860207,0.0,0.003666996955871582,-0.9298615455627441,-0.6929435729980469,0.8577797412872314,0.048513129353523254,1.0,0.14222025871276855,-0.385556697845459,-0.5367982387542725,0.9973344206809998,0.006952653173357248,1.0,0.002665579319000244,-1.5648664236068726,-0.6927639245986938,0.0005853661568835378,0.0,0.0005853661568835378,0.002020798856392503,0.002020798856392503,0.09581530094146729,1.0,2.0,-20.840599060058594,1785288352.4404147,3.0904014110565186,662.0060787200928,2.8384429297663942,1.3671823471476168,3.3316633889923333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1917235404253006,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
2,-0.00017311156261712313,1.0066321465274086e-07,-2.2643565955604572e-07,0.00030124164186418056,1.000845557541652e-07,1.2633398682737607e-07,0.0003472170792520046,-13.67505931854248,-0.935221254825592,0.007996395230293274,0.00044316024286672473,2.4607836621726165e-06,0.4998781383037567,3.798990655923262e-05,0.4999291002750397,0.007994096726179123,-7.039874076843262,-1.3321943283081055,0.4863249361515045,0.000275598606094718,0.48984289169311523,0.0035179555416107178,-3.156890630722046,-0.6763074398040771,-0.0031408369541168213,0.02466662786900997,0.0,0.0031408369541168213,-0.9320135712623596,-0.6929972171783447,0.8565430641174316,0.048660799860954285,1.0,0.14345693588256836,-0.38103950023651123,-0.534550130367279,0.9978713393211365,0.006976864766329527,1.0,0.0021286606788635254,-1.5633145570755005,-0.6929036378860474,0.000588114489801228,0.0,0.000588114489801228,0.002028691116720438,0.002028691116720438,0.09580739587545395,1.0,2.0,-20.885404586791992,1785288352.537187,3.187173843383789,662.10285115242,5.721691386266187,2.729847496686286,6.6617749114532945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28753093630075455,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
3,-0.00017358106561005116,1.0080236023668476e-07,2.603567054393352e-06,0.00029795081354677677,1.003955745204621e-07,1.796832066247589e-06,0.0003445986076258123,-13.683469772338867,-0.9432110786437988,0.007840529084205627,0.00044382494525052607,0.0,0.4998247027397156,3.793742143898271e-05,0.500065803527832,0.007844234816730022,-7.041928291320801,-1.333778738975525,0.4864511787891388,0.000275284779490903,0.5015283226966858,0.015077143907546997,-2.76703143119812,-0.3834856152534485,-0.0008221566677093506,0.02449326030910015,0.0,0.0008221566677093506,-0.9357262849807739,-0.6931368112564087,0.8562474250793457,0.047973375767469406,1.0,0.1437525749206543,-0.38423821330070496,-0.531613826751709,0.9983159899711609,0.006931546609848738,1.0,0.0016840100288391113,-1.5666931867599487,-0.6929937601089478,0.0005755138699896634,0.0,0.0005755138699896634,0.0019924556836485863,0.0019924556836485863,0.09584368020296097,1.0,2.0,-20.700529098510742,1785288352.6419168,3.291903495788574,662.2075808048248,8.42006435448473,4.095711359289148,9.995265063598705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3833746165037155,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
4,-0.00016870489344000816,9.943860135308569e-08,-7.1794960376792e-07,0.00030203815549612045,9.909636133897948e-08,-1.3786484487354755e-07,0.0003457310376688838,-13.684962272644043,-0.9343371391296387,0.008431285619735718,0.00044020984205417335,0.0,0.49997586011886597,3.751401527551934e-05,0.5000312328338623,0.008431467227637768,-7.040867805480957,-1.3257074356079102,0.4872947037220001,0.00027137057622894645,0.5030234456062317,0.015728741884231567,-2.7312521934509277,-0.35128068923950195,-0.0041036903858184814,0.0242112148553133,0.0,0.0041036903858184814,-0.9411833882331848,-0.6928863525390625,0.8573802709579468,0.04679042845964432,1.0,0.14261972904205322,-0.39474350214004517,-0.5301299691200256,0.9979255795478821,0.006834009662270546,1.0,0.00207442045211792,-1.5736684799194336,-0.6929110288619995,0.0005929080653004348,0.0,0.0005929080653004348,0.0020424409303814173,0.0020424409303814173,0.09579364210367203,1.0,2.0,-20.68328285217285,1785288352.7374957,3.3874824047088623,662.3031597137451,11.101191076365382,5.4720805107313515,13.335730508903598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47916825860738754,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
5,-0.0001637453678995371,9.58922541371976e-08,2.2952806375542423e-06,0.0003005464095622301,9.604540451846333e-08,1.5891899920461583e-06,0.0003419721033424139,-13.712335586547852,-0.9295223355293274,0.008251026272773743,0.00043309872853569686,3.670171963676694e-06,0.4999474883079529,3.6723664379678667e-05,0.4998781681060791,0.008247647434473038,-7.0618486404418945,-1.3273509740829468,0.4884423613548279,0.0002658761804923415,0.5027550458908081,0.014312684535980225,-2.8120601177215576,-0.4042162001132965,-0.004621952772140503,0.023458877578377724,0.0,0.004621952772140503,-0.956859290599823,-0.6928057074546814,0.8621530532836914,0.04449453949928284,1.0,0.1378469467163086,-0.42372655868530273,-0.5330001711845398,0.9990482926368713,0.006647773087024689,1.0,0.0009517073631286621,-1.5877301692962646,-0.6930961012840271,0.0006075991550460458,0.0,0.0006075991550460458,0.002084465930238366,0.002084465930238366,0.09575150161981583,1.0,2.0,-20.767845153808594,1785288352.842536,3.492522716522217,662.4082000255585,13.866880099881776,6.877432718718812,16.690257643585323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5749197602272034,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
6,-0.00015300791710615158,8.965720610376593e-08,-1.242120674760372e-06,0.00028931209817528725,9.016200408495934e-08,-5.58424801511137e-07,0.0003271968162152916,-13.7921724319458,-0.940482497215271,0.007600381970405579,0.0004193871282041073,0.0,0.4998510181903839,3.50709306076169e-05,0.4999627470970154,0.007601202931255102,-7.110502243041992,-1.3345088958740234,0.4897870719432831,0.0002540550194680691,0.4920505881309509,0.0022635161876678467,-3.2099578380584717,-0.6855846047401428,-0.002911388874053955,0.02164876088500023,0.0,0.002911388874053955,-0.9972692728042603,-0.6930003762245178,0.8735185861587524,0.03975754231214523,1.0,0.12648141384124756,-0.4923505187034607,-0.5422555208206177,1.0001590251922607,0.006228835787624121,1.0,0.0001590251922607422,-1.620342493057251,-0.6931456327438354,0.000604493310675025,0.0,0.000604493310675025,0.0020755957812070847,0.0020755957812070847,0.09576038271188736,1.0,2.0,-21.085552215576172,1785288352.9472892,3.597275972366333,662.5129532814026,16.950276185165748,8.35140888672443,20.077397102028034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6706801429390907,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
7,-0.00013874529395252466,8.095650372297314e-08,1.4593402966056601e-06,0.00025421311147511005,8.111380367381571e-08,7.724119654994865e-07,0.0002896368969231844,-13.973160743713379,-0.9982852339744568,0.00589810311794281,0.0003969561366830021,0.0,0.4997325539588928,3.1990919524105266e-05,0.5000501275062561,0.005906646605581045,-7.207600116729736,-1.3522486686706543,0.4905797243118286,0.0002321675856364891,0.4893369972705841,0.0012427270412445068,-3.26176118850708,-0.6906526684761047,0.00573614239692688,0.018017074093222618,0.0,0.00573614239692688,-1.088366150856018,-0.6924623250961304,0.8948637247085571,0.0319351851940155,1.0,0.10513627529144287,-0.630021333694458,-0.5633494853973389,0.9995132088661194,0.005488759838044643,1.0,0.00048679113388061523,-1.6835663318634033,-0.6931309700012207,0.0005223164334893227,0.0,0.0005223164334893227,0.001837954856455326,0.001837954856455326,0.09599845111370087,1.0,2.0,-21.370121002197266,1785288353.032931,3.682917833328247,662.5985951423645,20.318241057070814,9.963055869721046,23.527760399276897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666785940527916,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
8,-0.00010731606744229794,6.891180248658202e-08,-2.399152208454325e-06,0.00019415374845266342,6.784974715401404e-08,-1.5045829968585167e-06,0.00022201292449608445,-14.298349380493164,-1.114811658859253,0.0034118741750717163,0.00036081881262362003,3.2145835575647652e-06,0.4998137950897217,2.7426636734162457e-05,0.4999731183052063,0.003412380814552307,-7.361124515533447,-1.3738716840744019,0.4911307692527771,0.00019873220298904926,0.4964449405670166,0.005314171314239502,-3.2717859745025635,-0.639858603477478,0.02111533284187317,0.013156110420823097,0.0,0.02111533284187317,-1.2295511960983276,-0.6804385185241699,0.9323588609695435,0.022489316761493683,1.0,0.06764113903045654,-0.876696765422821,-0.6168555617332458,0.998576819896698,0.0045916191302239895,1.0,0.001423180103302002,-1.7726022005081177,-0.6929817795753479,0.00042691436829045415,0.0,0.00042691436829045415,0.0015539245214313269,0.0015539245214313269,0.09628301858901978,1.0,2.0,-21.82314109802246,1785288353.1269307,3.7769174575805664,662.6925947666168,24.139226024801076,11.821378284446025,27.067159565170474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8629616126418114,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
9,-6.014539394527674e-05,5.894796473171482e-08,-1.858393943621195e-06,0.00012961553875356913,5.65248257089479e-08,-8.915639568840561e-07,0.0001429317198926583,-14.650243759155273,-1.2516865730285645,0.0014761686325073242,0.0003347298188600689,0.0,0.4999491572380066,2.32023903663503e-05,0.500019907951355,0.001477863173931837,-7.495481014251709,-1.3837722539901733,0.49190789461135864,0.00017211704107467085,0.493684858083725,0.001776963472366333,-3.4055562019348145,-0.6862675547599792,0.03594979643821716,0.00956842489540577,0.0,0.03594979643821716,-1.3381708860397339,-0.6424967050552368,0.9727187156677246,0.014371903613209724,1.0,0.02728128433227539,-1.1764084100723267,-0.67372727394104,0.996574878692627,0.003734815865755081,1.0,0.003425121307373047,-1.8745193481445312,-0.6919692754745483,0.0003535035939421505,0.0,0.0003535035939421505,0.0013280438724905252,0.0013280438724905252,0.09650915861129761,1.0,2.0,-22.349407196044922,1785288353.2318602,3.8818469047546387,662.7975242137909,28.486477090553798,13.97941234382051,30.708475878700465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959470771253109,0.0,0.0,0.0,0.5,0.5,0.5,,False,2.3956799507141113
