window,pos_l2,pos_nll,vel_nll,steer_nll,combined_nll,obj_dist_actual,obj_dist_pred,obj_dist_residual,obj_dist_slope,obj_dist_past_min,cusum_combined,has_adjacent_lane
0,0.006719990633428097,-6.383177757263184,-5.414189338684082,-1.1545438766479492,-11.291801452636719,1.0,0.6245006918907166,0.37549930810928345,0.0,1.0,0.0,1.0
1,0.007298139855265617,-6.371403217315674,-5.107531547546387,-1.4977082014083862,-11.206281661987305,1.0,0.6286316514015198,0.3713683485984802,0.0,1.0,0.2503881118236446,1.0
2,0.007673192303627729,-6.366661071777344,-4.600354194641113,-1.649362564086914,-10.871625900268555,1.0,0.6354185938835144,0.3645814061164856,0.0,1.0,0.8354319853660392,1.0
3,0.011758675798773766,-6.270018577575684,-4.330817222595215,-1.6264431476593018,-10.547894477844238,1.0,0.6699910163879395,0.33000898361206055,0.0,1.0,1.7442072813327503,1.0
4,0.01229960098862648,-6.258810997009277,-5.368674278259277,-1.3338510990142822,-11.22067642211914,1.0,0.6749140620231628,0.32508593797683716,0.0,1.0,1.980200633024559,1.0
5,0.012101870030164719,-6.255237102508545,-5.304607391357422,-1.2849087715148926,-11.141377449035645,1.0,0.6800028681755066,0.3199971318244934,0.0,1.0,2.2954929577998637,1.0
6,0.011969929561018944,-6.252384185791016,-5.116518974304199,-1.3539530038833618,-11.022576332092285,1.0,0.6835789084434509,0.3164210915565491,0.0,1.0,2.729586399518528,1.0
7,0.01148329395800829,-6.258950233459473,-5.1668500900268555,-1.4200630187988281,-11.102461814880371,1.0,0.6865758299827576,0.31342417001724243,0.0,1.0,3.083794358449106,1.0
8,0.011180478148162365,-6.2681379318237305,-5.002924919128418,-1.436051607131958,-10.988503456115723,1.0,0.6904383897781372,0.3095616102218628,0.0,1.0,3.5519606761443328,1.0
9,0.01092471182346344,-6.27376651763916,-5.028685569763184,-1.431800365447998,-11.012615203857422,1.0,0.693976104259491,0.30602389574050903,0.0,1.0,3.99601524609786,1.0
10,0.010713700205087662,-6.277880668640137,-5.179704666137695,-1.429787516593933,-11.136537551879883,1.0,0.697824239730835,0.30217576026916504,0.0,1.0,4.316147468028927,1.0
11,0.010347927920520306,-6.291341781616211,-5.250845909118652,-1.4380762577056885,-11.21105670928955,1.0,0.702062726020813,0.297937273979187,0.0,1.0,4.561760532550325,1.0
12,0.00970783457159996,-6.314777374267578,-5.263354778289795,-1.4707778692245483,-11.260849952697754,1.0,0.7076616287231445,0.29233837127685547,0.0,1.0,4.757580353663521,1.0
13,0.008510113693773746,-6.376891136169434,-5.376900672912598,-1.522382140159607,-11.439602851867676,1.0,0.7176169753074646,0.2823830246925354,0.0,1.0,4.774647275606794,1.0
14,0.007441292982548475,-6.408568382263184,-5.431480407714844,-1.5308958292007446,-11.519200325012207,1.0,0.7232393026351929,0.27676069736480713,0.0,1.0,4.712116724405536,1.0
15,0.006427687592804432,-6.442451477050781,-5.45738410949707,-1.5413036346435547,-11.579010963439941,1.0,0.7284197807312012,0.27158021926879883,0.0,1.0,4.589775534776544,1.0
16,0.005706342868506908,-6.464812278747559,-5.4292731285095215,-1.5496670007705688,-11.583065032958984,1.0,0.7322361469268799,0.2677638530731201,0.0,1.0,4.463380275628509,1.0
17,0.005054285749793053,-6.486807823181152,-5.443833351135254,-1.6726542711257935,-11.678202629089355,1.0,0.734702467918396,0.265297532081604,0.0,1.0,4.241847420350103,1.0
18,0.005196520127356052,-6.498184680938721,-5.5252227783203125,-1.694982886314392,-11.765854835510254,1.0,0.7363412976264954,0.26365870237350464,0.0,1.0,3.9326623586507985,1.0
19,0.005715837702155113,-6.500480651855469,-5.532620429992676,-1.7433968782424927,-11.798274993896484,1.0,0.7365723252296448,0.2634276747703552,0.0,1.0,3.5910571385652634,1.0
20,0.0061174784786999226,-6.503337860107422,-5.447609901428223,-1.7456474304199219,-11.734249114990234,1.0,0.7349200248718262,0.26507997512817383,0.0,1.0,3.3134777973859784,1.0
21,0.006992850918322802,-6.49738883972168,-5.358208656311035,-1.7582865953445435,-11.663100242614746,1.0,0.7326198220252991,0.2673801779747009,0.0,1.0,3.1070473285821816,1.0
22,0.006982856430113316,-6.501131057739258,-5.323434352874756,-1.7210071086883545,-11.620381355285645,1.0,0.7291440367698669,0.27085596323013306,0.0,1.0,2.9433357471074864,1.0
23,0.007049475330859423,-6.500387191772461,-5.443648338317871,-1.8098046779632568,-11.760209083557129,1.0,0.7260794639587402,0.27392053604125977,0.0,1.0,2.6397964373613068,1.0
24,0.0071559324860572815,-6.505136489868164,-5.400959014892578,-1.8618570566177368,-11.756832122802734,1.0,0.7208536267280579,0.27914637327194214,0.0,1.0,2.3396340883695217,1.0
25,0.007234008517116308,-6.515249252319336,-5.653716564178467,-1.8879015445709229,-11.982173919677734,1.0,0.7156152129173279,0.2843847870826721,0.0,1.0,1.8141299425027366,1.0
26,0.007256483193486929,-6.520208358764648,-5.611039638519287,-1.933925747871399,-11.976003646850586,1.0,0.7104597687721252,0.28954023122787476,0.0,1.0,1.2947960694631,1.0
27,0.0071372706443071365,-6.5282745361328125,-5.667736530303955,-2.2032110691070557,-12.164069175720215,1.0,0.7010023593902588,0.2989976406097412,0.0,1.0,0.5873966675538345,1.0
28,0.0058533973060548306,-6.545380592346191,-5.543617248535156,-2.234423875808716,-12.09748649597168,1.0,0.7000178694725037,0.29998213052749634,0.0,1.0,0.0,1.0
29,0.00570398336276412,-6.540091514587402,-5.680570602416992,-1.976807951927185,-12.072952270507812,1.0,0.6954584717750549,0.30454152822494507,0.0,1.0,0.0,1.0
30,0.006364061497151852,-6.528225898742676,-5.657031059265137,-1.943102240562439,-12.02540111541748,1.0,0.6858264803886414,0.31417351961135864,0.0,1.0,0.0,1.0
31,0.007016666233539581,-6.5224456787109375,-5.668700695037842,-2.1952590942382812,-12.155035972595215,1.0,0.6773954629898071,0.32260453701019287,0.0,1.0,0.0,1.0
32,0.006987249478697777,-6.52714204788208,-5.486541748046875,-2.317761182785034,-12.07525634765625,1.0,0.672138512134552,0.327861487865448,0.0,1.0,0.0,1.0
33,0.00642767921090126,-6.5367584228515625,-5.673480033874512,-2.1546566486358643,-12.152871131896973,1.0,0.6685157418251038,0.33148425817489624,0.0,1.0,0.0,1.0
34,0.006955913733690977,-6.5266876220703125,-5.664816379547119,-2.091649293899536,-12.104365348815918,1.0,0.6628249883651733,0.33717501163482666,0.0,1.0,0.0,1.0
35,0.007367695216089487,-6.5243377685546875,-5.627130508422852,-2.1801300048828125,-12.116107940673828,1.0,0.6584866046905518,0.34151339530944824,0.0,1.0,0.0,1.0
36,0.007525234948843718,-6.528652191162109,-5.634393215179443,-2.3597474098205566,-12.21604061126709,0.05594030022621155,0.654670774936676,0.5987304449081421,0.0,1.0,0.0,1.0
37,0.004865039139986038,-6.596009254455566,-5.796635627746582,-2.4974377155303955,-12.482037544250488,0.055607739835977554,0.6458606123924255,0.5902528762817383,-0.10489552468061447,0.05594030022621155,0.025367770439538972,1.0
38,0.004260801710188389,-6.610260963439941,-5.82708740234375,-2.531294822692871,-12.537578582763672,0.05530783161520958,0.6406105160713196,0.5853027105331421,-0.10493247210979462,0.055607739835977554,0.10627657939226154,1.0
39,0.004036412574350834,-6.612545967102051,-5.846578121185303,-2.5464189052581787,-12.563017845153809,0.05513988807797432,0.635624349117279,0.5804844498634338,-0.10496579855680466,0.05530783161520958,0.21262465073512082,1.0
40,0.0035584447905421257,-6.615070343017578,-5.856636047363281,-2.54111385345459,-12.57093620300293,0.055144764482975006,0.6296051740646362,0.5744603872299194,-0.10498445481061935,0.05513988807797432,0.3268910799271012,1.0
41,0.0031230407766997814,-6.623887538909912,-5.855695724487305,-2.603125810623169,-12.610007286071777,0.05541778355836868,0.6214303970336914,0.5660126209259033,-0.10498391091823578,0.05513988807797432,0.48022859218792924,1.0
42,0.003009147010743618,-6.631226539611816,-5.849594593048096,-2.611633062362671,-12.616718292236328,0.0551007054746151,0.6153387427330017,0.5602380633354187,-0.1049535796046257,0.05513988807797432,0.640277110613308,1.0
43,0.00300669320859015,-6.630468368530273,-5.8419599533081055,-2.630232572555542,-12.619153022766113,0.05497900769114494,0.6127520799636841,0.5577730536460876,-0.10498881340026855,0.0551007054746151,0.802760359568472,1.0
44,0.0027931698132306337,-6.629141807556152,-5.838030815124512,-2.712301254272461,-12.655716896057129,0.05497242882847786,0.6101454496383667,0.5551730394363403,-0.10500232875347137,0.05497900769114494,1.0018074818146516,1.0
45,0.002570029115304351,-6.625741004943848,-5.837608337402344,-2.777100086212158,-12.684377670288086,0.05493979528546333,0.6076744198799133,0.5527346134185791,-0.10500306636095047,0.05497242882847786,1.2295153782917883,1.0
46,0.002377825090661645,-6.620800018310547,-5.838980674743652,-2.8471944332122803,-12.715581893920898,0.054438795894384384,0.6046238541603088,0.5501850843429565,-0.00011116721725557,0.05493979528546333,1.4884274984017374,1.0
47,0.0021572248078882694,-6.617410659790039,-5.847817420959473,-2.9098291397094727,-12.750579833984375,0.05418176203966141,0.6001709699630737,0.5459892153739929,-0.00012988266826141626,0.054438795894384384,1.782337558575163,1.0
48,0.0022566800471395254,-6.613917350769043,-5.859408378601074,-2.94461727142334,-12.773752212524414,0.054135795682668686,0.5969753861427307,0.5428395867347717,-0.00012511883687693626,0.05418176203966141,2.099419997288628,1.0
49,0.0023501692339777946,-6.610995292663574,-5.856204986572266,-2.9766268730163574,-12.784273147583008,0.05399348959326744,0.5936813354492188,0.5396878719329834,-0.00011156582331750542,0.054135795682668686,2.4270233710606863,1.0
50,0.002568656811490655,-6.611008644104004,-5.8690290451049805,-2.9966578483581543,-12.804561614990234,0.05395079031586647,0.5919591188430786,0.5380083322525024,-0.00012791944027412683,0.05399348959326744,2.7749152122399714,1.0
51,0.0026775740552693605,-6.611600399017334,-5.868789196014404,-3.0028936862945557,-12.80807876586914,0.053826164454221725,0.5905165076255798,0.536690354347229,-0.00016299924755003303,0.05395079031586647,3.1263242042981627,1.0
52,0.002417790237814188,-6.6161041259765625,-5.876932144165039,-2.984110116958618,-12.809704780578613,0.05379205197095871,0.5865011811256409,0.5327091217041016,-0.00014161567378323525,0.053826164454221725,3.4793592110658267,1.0
53,0.002372599672526121,-6.620899200439453,-5.892253875732422,-2.956444025039673,-12.8129243850708,0.054025135934352875,0.5839670300483704,0.5299419164657593,-0.0001318839640589431,0.05379205197095871,3.835613822325678,1.0
